municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100204,Alcântara - MA,1995,6.0,2.0
2100204,Alcântara - MA,1996,48.0,14.0
2100204,Alcântara - MA,1997,48.0,14.0
2100204,Alcântara - MA,1998,47.0,14.0
2100204,Alcântara - MA,1999,48.0,17.0
2100204,Alcântara - MA,2000,5.0,2.0
2100204,Alcântara - MA,2001,5.0,2.0
2100204,Alcântara - MA,2002,5.0,3.0
2100204,Alcântara - MA,2003,7.0,3.0
2100204,Alcântara - MA,2004,64.0,32.0
2100204,Alcântara - MA,2005,65.0,33.0
2100204,Alcântara - MA,2006,78.0,39.0
2100204,Alcântara - MA,2007,78.0,39.0
2100204,Alcântara - MA,2008,90.0,45.0
2100204,Alcântara - MA,2009,86.0,51.0
2100204,Alcântara - MA,2010,69.0,48.0
2100204,Alcântara - MA,2011,84.0,67.0
2100204,Alcântara - MA,2012,91.0,86.0
2100204,Alcântara - MA,2013,97.0,88.0
2100204,Alcântara - MA,2014,106.0,106.0
2100204,Alcântara - MA,2015,101.0,122.0
2100204,Alcântara - MA,2016,90.0,122.0
2100204,Alcântara - MA,2017,85.0,128.0
2100204,Alcântara - MA,2018,87.0,182.0
2100204,Alcântara - MA,2019,89.0,205.0
2100204,Alcântara - MA,2020,90.0,215.0
2100204,Alcântara - MA,2021,89.0,231.0
2100204,Alcântara - MA,2022,91.0,259.0
2100204,Alcântara - MA,2023,93.0,278.0
2100204,Alcântara - MA,2024,90.0,314.0
2100402,Altamira do Maranhão - MA,2018,96.0,120.0
2100402,Altamira do Maranhão - MA,2019,98.0,147.0
2100402,Altamira do Maranhão - MA,2020,99.0,158.0
2100402,Altamira do Maranhão - MA,2021,99.0,167.0
2100402,Altamira do Maranhão - MA,2022,100.0,200.0
2100402,Altamira do Maranhão - MA,2023,80.0,152.0
2100402,Altamira do Maranhão - MA,2024,279.0,650.0
2100477,Alto Alegre do Pindaré - MA,2014,12.0,16.0
2100477,Alto Alegre do Pindaré - MA,2015,14.0,20.0
2100477,Alto Alegre do Pindaré - MA,2016,15.0,24.0
2100477,Alto Alegre do Pindaré - MA,2017,17.0,35.0
2100477,Alto Alegre do Pindaré - MA,2018,18.0,39.0
2100477,Alto Alegre do Pindaré - MA,2019,20.0,46.0
2100477,Alto Alegre do Pindaré - MA,2020,21.0,57.0
2100477,Alto Alegre do Pindaré - MA,2021,23.0,70.0
2100477,Alto Alegre do Pindaré - MA,2022,26.0,90.0
2100477,Alto Alegre do Pindaré - MA,2023,29.0,118.0
2100477,Alto Alegre do Pindaré - MA,2024,30.0,139.0
2100550,Amapá do Maranhão - MA,1997,1091.0,546.0
2100550,Amapá do Maranhão - MA,1998,1097.0,494.0
2100550,Amapá do Maranhão - MA,1999,1102.0,441.0
2100550,Amapá do Maranhão - MA,2000,1212.0,364.0
2100550,Amapá do Maranhão - MA,2001,1218.0,451.0
2100550,Amapá do Maranhão - MA,2002,1279.0,640.0
2100550,Amapá do Maranhão - MA,2003,767.0,384.0
2100550,Amapá do Maranhão - MA,2004,990.0,594.0
2100550,Amapá do Maranhão - MA,2005,1040.0,572.0
2100550,Amapá do Maranhão - MA,2006,1077.0,646.0
2100550,Amapá do Maranhão - MA,2007,1131.0,735.0
2100550,Amapá do Maranhão - MA,2008,905.0,769.0
2100550,Amapá do Maranhão - MA,2009,923.0,1080.0
2100550,Amapá do Maranhão - MA,2010,883.0,794.0
2100550,Amapá do Maranhão - MA,2011,964.0,964.0
2100550,Amapá do Maranhão - MA,2012,948.0,1042.0
2100550,Amapá do Maranhão - MA,2013,964.0,1205.0
2100550,Amapá do Maranhão - MA,2014,1017.0,1424.0
2100550,Amapá do Maranhão - MA,2015,1276.0,1851.0
2100550,Amapá do Maranhão - MA,2016,1648.0,2192.0
2100550,Amapá do Maranhão - MA,2017,1780.0,2581.0
2100550,Amapá do Maranhão - MA,2018,1972.0,3549.0
2100550,Amapá do Maranhão - MA,2019,2258.0,3951.0
2100550,Amapá do Maranhão - MA,2020,2389.0,4778.0
2100550,Amapá do Maranhão - MA,2021,2169.0,4771.0
2100550,Amapá do Maranhão - MA,2022,2223.0,5113.0
2100550,Amapá do Maranhão - MA,2023,2351.0,7052.0
2100550,Amapá do Maranhão - MA,2024,1998.0,6394.0
2100600,Amarante do Maranhão - MA,2010,1.0,1.0
2100600,Amarante do Maranhão - MA,2011,1.0,1.0
2100600,Amarante do Maranhão - MA,2012,1.0,1.0
2100600,Amarante do Maranhão - MA,2013,1.0,1.0
2100600,Amarante do Maranhão - MA,2014,1.0,1.0
2100600,Amarante do Maranhão - MA,2015,1.0,1.0
2100600,Amarante do Maranhão - MA,2016,1.0,1.0
2100600,Amarante do Maranhão - MA,2017,0.0,0.0
2100600,Amarante do Maranhão - MA,2018,0.0,0.0
2100600,Amarante do Maranhão - MA,2019,0.0,1.0
2100600,Amarante do Maranhão - MA,2020,0.0,1.0
2100600,Amarante do Maranhão - MA,2021,0.0,1.0
