municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100550,Amapá do Maranhão - MA,2017,15.0,35.0
2100550,Amapá do Maranhão - MA,2018,15.0,38.0
2100550,Amapá do Maranhão - MA,2019,15.0,39.0
2100550,Amapá do Maranhão - MA,2020,29.0,84.0
2100550,Amapá do Maranhão - MA,2021,98.0,260.0
2100550,Amapá do Maranhão - MA,2022,105.0,231.0
2100550,Amapá do Maranhão - MA,2023,60.0,126.0
2100550,Amapá do Maranhão - MA,2024,79.0,241.0
2100600,Amarante do Maranhão - MA,2022,10.0,27.0
2100600,Amarante do Maranhão - MA,2023,16.0,44.0
2100600,Amarante do Maranhão - MA,2024,17.0,61.0
2101004,Arari - MA,2017,40.0,133.0
2101004,Arari - MA,2018,120.0,240.0
2101004,Arari - MA,2019,115.0,253.0
2101004,Arari - MA,2020,120.0,276.0
2101004,Arari - MA,2021,125.0,325.0
2101004,Arari - MA,2022,128.0,358.0
2101004,Arari - MA,2023,160.0,480.0
2101004,Arari - MA,2024,160.0,496.0
2101202,Bacabal - MA,2023,60.0,120.0
2101202,Bacabal - MA,2024,60.0,480.0
2101608,Barra do Corda - MA,2022,12.0,12.0
2101608,Barra do Corda - MA,2023,15.0,43.0
2101608,Barra do Corda - MA,2024,12.0,36.0
2101707,Barreirinhas - MA,2024,18.0,51.0
2101970,Boa Vista do Gurupi - MA,2017,71.0,96.0
2101970,Boa Vista do Gurupi - MA,2018,75.0,113.0
2101970,Boa Vista do Gurupi - MA,2019,75.0,167.0
2101970,Boa Vista do Gurupi - MA,2020,142.0,333.0
2101970,Boa Vista do Gurupi - MA,2021,300.0,819.0
2101970,Boa Vista do Gurupi - MA,2022,300.0,888.0
2101970,Boa Vista do Gurupi - MA,2023,151.0,480.0
2101970,Boa Vista do Gurupi - MA,2024,285.0,818.0
2102903,Carutapera - MA,2017,75.0,160.0
2102903,Carutapera - MA,2018,141.0,419.0
2102903,Carutapera - MA,2019,142.0,388.0
2102903,Carutapera - MA,2020,390.0,1142.0
2102903,Carutapera - MA,2021,186.0,164.0
2102903,Carutapera - MA,2022,232.0,209.0
2102903,Carutapera - MA,2023,159.0,586.0
2102903,Carutapera - MA,2024,211.0,612.0
2103158,Centro do Guilherme - MA,2020,8.0,23.0
2103158,Centro do Guilherme - MA,2021,35.0,96.0
2103158,Centro do Guilherme - MA,2022,39.0,118.0
2103158,Centro do Guilherme - MA,2023,30.0,100.0
2103158,Centro do Guilherme - MA,2024,30.0,91.0
2102606,Cândido Mendes - MA,2017,6.0,9.0
2102606,Cândido Mendes - MA,2018,9.0,15.0
2102606,Cândido Mendes - MA,2019,9.0,21.0
2102606,Cândido Mendes - MA,2020,12.0,34.0
2102606,Cândido Mendes - MA,2021,30.0,80.0
2102606,Cândido Mendes - MA,2022,35.0,90.0
2102606,Cândido Mendes - MA,2023,35.0,122.0
2102606,Cândido Mendes - MA,2024,26.0,67.0
2104099,Formosa da Serra Negra - MA,2023,2.0,6.0
2104099,Formosa da Serra Negra - MA,2024,2.0,6.0
2104305,Godofredo Viana - MA,2017,25.0,42.0
2104305,Godofredo Viana - MA,2018,29.0,49.0
2104305,Godofredo Viana - MA,2019,39.0,91.0
2104305,Godofredo Viana - MA,2020,57.0,114.0
2104305,Godofredo Viana - MA,2021,266.0,778.0
2104305,Godofredo Viana - MA,2022,260.0,767.0
2104305,Godofredo Viana - MA,2023,45.0,149.0
2104305,Godofredo Viana - MA,2024,70.0,198.0
2104677,Governador Nunes Freire - MA,2017,9.0,14.0
2104677,Governador Nunes Freire - MA,2018,14.0,23.0
2104677,Governador Nunes Freire - MA,2019,13.0,29.0
2104677,Governador Nunes Freire - MA,2020,49.0,96.0
2104677,Governador Nunes Freire - MA,2021,185.0,518.0
2104677,Governador Nunes Freire - MA,2022,210.0,595.0
2104677,Governador Nunes Freire - MA,2023,149.0,603.0
2104677,Governador Nunes Freire - MA,2024,133.0,436.0
2104800,Grajaú - MA,2023,10.0,30.0
