municipio_id,municipio,ano,area_plantada_ha,quantidade_ton,valor_mil_reais,area_colhida_ha
2100501,Alto Parnaíba - MA,2009,690.0,2070.0,3519.0,690.0
2100501,Alto Parnaíba - MA,2010,1200.0,3600.0,6120.0,1200.0
2100501,Alto Parnaíba - MA,2011,2370.0,7110.0,12087.0,2370.0
2100501,Alto Parnaíba - MA,2012,2235.0,9163.0,16493.0,2235.0
2100501,Alto Parnaíba - MA,2013,2400.0,9656.0,17381.0,2400.0
2100501,Alto Parnaíba - MA,2014,2400.0,9360.0,21973.0,2400.0
2100501,Alto Parnaíba - MA,2015,2760.0,11592.0,22604.0,2760.0
2100501,Alto Parnaíba - MA,2016,1867.0,4201.0,9682.0,1867.0
2100501,Alto Parnaíba - MA,2017,1874.0,6671.0,16010.0,1874.0
2100501,Alto Parnaíba - MA,2018,1852.0,7223.0,17227.0,1852.0
2100501,Alto Parnaíba - MA,2019,1795.0,6890.0,17168.0,1795.0
2101400,Balsas - MA,2001,150.0,562.0,377.0,150.0
2101400,Balsas - MA,2002,70.0,210.0,57.0,70.0
2101400,Balsas - MA,2003,150.0,517.0,140.0,150.0
2101400,Balsas - MA,2004,3065.0,11034.0,16882.0,3065.0
2101400,Balsas - MA,2005,3984.0,14342.0,21943.0,3984.0
2101400,Balsas - MA,2006,3834.0,6901.0,4141.0,3834.0
2101400,Balsas - MA,2007,3834.0,6901.0,2415.0,3834.0
2101400,Balsas - MA,2008,6343.0,21959.0,36781.0,6343.0
2101400,Balsas - MA,2009,6300.0,21420.0,35879.0,6300.0
2101400,Balsas - MA,2010,5800.0,19720.0,33031.0,5800.0
2101400,Balsas - MA,2011,5800.0,19720.0,33524.0,5800.0
2101400,Balsas - MA,2012,9726.0,39499.0,70308.0,9726.0
2101400,Balsas - MA,2013,9865.0,39233.0,72581.0,9865.0
2101400,Balsas - MA,2014,9865.0,39953.0,96047.0,9865.0
2101400,Balsas - MA,2015,11344.0,47644.0,94335.0,11344.0
2101400,Balsas - MA,2016,7027.0,30146.0,69432.0,7027.0
2101400,Balsas - MA,2017,8317.0,30724.0,73738.0,8317.0
2101400,Balsas - MA,2018,8331.0,33378.0,81776.0,8331.0
2101400,Balsas - MA,2019,10345.0,39650.0,99125.0,10345.0
2101400,Balsas - MA,2020,10900.0,46270.0,126317.0,10900.0
2101400,Balsas - MA,2021,8124.0,35086.0,99820.0,8124.0
2101400,Balsas - MA,2022,10000.0,51230.0,107583.0,10000.0
2101400,Balsas - MA,2023,10000.0,41114.0,88395.0,10000.0
2101400,Balsas - MA,2024,14127.0,58089.0,128958.0,14127.0
2101608,Barra do Corda - MA,1995,50.0,50.0,25.0,50.0
2101608,Barra do Corda - MA,1996,513.0,1132.0,153.0,513.0
