municipio_id,municipio,ano,area_plantada_ha,quantidade_ton,valor_mil_reais,area_colhida_ha
2100055,Açailândia - MA,2007,5.0,7.0,6.0,5.0
2100055,Açailândia - MA,2008,3.0,4.0,3.0,3.0
2100055,Açailândia - MA,2009,4.0,6.0,5.0,4.0
2100055,Açailândia - MA,2010,2.0,3.0,3.0,2.0
2100055,Açailândia - MA,2017,2.0,3.0,9.0,2.0
2100055,Açailândia - MA,2018,6.0,9.0,19.0,6.0
2100055,Açailândia - MA,2019,5.0,8.0,18.0,5.0
2100055,Açailândia - MA,2020,6.0,10.0,23.0,6.0
2100055,Açailândia - MA,2021,6.0,10.0,27.0,6.0
2100055,Açailândia - MA,2022,5.0,8.0,22.0,5.0
2100055,Açailândia - MA,2023,6.0,10.0,28.0,6.0
2100055,Açailândia - MA,2024,5.0,8.0,22.0,5.0
2102358,Buritirana - MA,2018,6.0,15.0,30.0,6.0
2102358,Buritirana - MA,2019,4.0,8.0,19.0,4.0
2103257,Cidelândia - MA,2003,5.0,5.0,4.0,5.0
2103257,Cidelândia - MA,2004,5.0,6.0,6.0,5.0
2103257,Cidelândia - MA,2005,8.0,8.0,6.0,8.0
2103257,Cidelândia - MA,2006,5.0,6.0,6.0,5.0
2103257,Cidelândia - MA,2007,4.0,6.0,6.0,4.0
2103257,Cidelândia - MA,2008,2.0,3.0,2.0,2.0
2103257,Cidelândia - MA,2009,2.0,3.0,2.0,2.0
2103257,Cidelândia - MA,2010,1.0,3.0,5.0,1.0
2103257,Cidelândia - MA,2016,11.0,19.0,49.0,11.0
2103257,Cidelândia - MA,2017,8.0,16.0,46.0,8.0
2103257,Cidelândia - MA,2018,6.0,15.0,32.0,6.0
2103257,Cidelândia - MA,2019,5.0,8.0,17.0,5.0
2103257,Cidelândia - MA,2020,6.0,10.0,23.0,6.0
2103257,Cidelândia - MA,2021,4.0,7.0,19.0,4.0
2103257,Cidelândia - MA,2022,5.0,8.0,22.0,5.0
2103257,Cidelândia - MA,2023,4.0,7.0,20.0,4.0
2103257,Cidelândia - MA,2024,5.0,8.0,22.0,5.0
2104057,Estreito - MA,2017,3.0,7.0,22.0,3.0
2104057,Estreito - MA,2020,3.0,4.0,10.0,3.0
2104057,Estreito - MA,2021,3.0,4.0,10.0,3.0
2104057,Estreito - MA,2022,3.0,4.0,11.0,3.0
2104057,Estreito - MA,2023,4.0,5.0,14.0,4.0
2104057,Estreito - MA,2024,3.0,4.0,11.0,3.0
2104602,Governador Eugênio Barros - MA,2008,5.0,5.0,4.0,5.0
2104602,Governador Eugênio Barros - MA,2009,7.0,7.0,5.0,7.0
2104602,Governador Eugênio Barros - MA,2010,7.0,7.0,5.0,7.0
2104602,Governador Eugênio Barros - MA,2011,6.0,8.0,6.0,6.0
2104602,Governador Eugênio Barros - MA,2012,6.0,8.0,7.0,6.0
2104602,Governador Eugênio Barros - MA,2013,68.0,91.0,109.0,68.0
2104602,Governador Eugênio Barros - MA,2015,25.0,31.0,51.0,25.0
2104602,Governador Eugênio Barros - MA,2016,32.0,39.0,27.0,32.0
2104602,Governador Eugênio Barros - MA,2018,35.0,43.0,35.0,35.0
2104602,Governador Eugênio Barros - MA,2019,26.0,35.0,34.0,26.0
2104602,Governador Eugênio Barros - MA,2020,73.0,123.0,154.0,73.0
2104602,Governador Eugênio Barros - MA,2021,65.0,110.0,163.0,65.0
2104602,Governador Eugênio Barros - MA,2022,55.0,93.0,162.0,55.0
2104602,Governador Eugênio Barros - MA,2023,18.0,31.0,61.0,18.0
2104602,Governador Eugênio Barros - MA,2024,15.0,25.0,57.0,15.0
2105302,Imperatriz - MA,2010,1.0,2.0,3.0,1.0
2105302,Imperatriz - MA,2015,2.0,4.0,8.0,2.0
2105302,Imperatriz - MA,2016,3.0,8.0,20.0,3.0
2105302,Imperatriz - MA,2018,2.0,5.0,13.0,2.0
2105302,Imperatriz - MA,2019,4.0,6.0,13.0,4.0
2105302,Imperatriz - MA,2020,2.0,3.0,7.0,2.0
2105302,Imperatriz - MA,2021,3.0,4.0,11.0,3.0
2105302,Imperatriz - MA,2022,2.0,3.0,8.0,2.0
2105302,Imperatriz - MA,2023,1.0,1.0,3.0,1.0
2105351,Itaipava do Grajaú - MA,2024,1.0,2.0,5.0,1.0
2105427,Itinga do Maranhão - MA,2013,4.0,7.0,14.0,4.0
2105427,Itinga do Maranhão - MA,2014,4.0,6.0,13.0,4.0
2105427,Itinga do Maranhão - MA,2017,6.0,10.0,32.0,6.0
2105427,Itinga do Maranhão - MA,2018,9.0,14.0,29.0,9.0
2105427,Itinga do Maranhão - MA,2019,7.0,11.0,24.0,7.0
2105427,Itinga do Maranhão - MA,2020,6.0,10.0,23.0,6.0
2105427,Itinga do Maranhão - MA,2021,7.0,11.0,29.0,7.0
2105427,Itinga do Maranhão - MA,2022,8.0,12.0,32.0,8.0
2105427,Itinga do Maranhão - MA,2023,6.0,9.0,25.0,6.0
2105427,Itinga do Maranhão - MA,2024,5.0,8.0,22.0,5.0
2105500,João Lisboa - MA,2007,10.0,5.0,6.0,10.0
2105500,João Lisboa - MA,2008,5.0,4.0,3.0,5.0
2105500,João Lisboa - MA,2009,5.0,4.0,3.0,5.0
2105500,João Lisboa - MA,2010,4.0,3.0,4.0,4.0
2105500,João Lisboa - MA,2018,5.0,10.0,21.0,5.0
2105500,João Lisboa - MA,2019,6.0,13.0,29.0,6.0
2105500,João Lisboa - MA,2020,5.0,12.0,28.0,5.0
