municipio_id,municipio,ano,area_plantada_ha,quantidade_ton,valor_mil_reais,area_colhida_ha
2100105,Afonso Cunha - MA,1995,549.0,632.0,88.0,549.0
2100105,Afonso Cunha - MA,1996,682.0,841.0,198.0,682.0
2100105,Afonso Cunha - MA,1997,675.0,817.0,196.0,675.0
2100105,Afonso Cunha - MA,1998,650.0,182.0,46.0,650.0
2100105,Afonso Cunha - MA,1999,590.0,531.0,121.0,590.0
2100105,Afonso Cunha - MA,2000,620.0,744.0,184.0,620.0
2100105,Afonso Cunha - MA,2001,669.0,843.0,216.0,669.0
2100105,Afonso Cunha - MA,2002,700.0,554.0,219.0,700.0
2100105,Afonso Cunha - MA,2003,740.0,894.0,420.0,740.0
2100105,Afonso Cunha - MA,2004,735.0,882.0,678.0,735.0
2100105,Afonso Cunha - MA,2005,775.0,633.0,395.0,659.0
2100105,Afonso Cunha - MA,2006,690.0,744.0,201.0,690.0
2100105,Afonso Cunha - MA,2007,724.0,869.0,226.0,724.0
2100105,Afonso Cunha - MA,2008,673.0,821.0,237.0,673.0
2100105,Afonso Cunha - MA,2009,696.0,526.0,168.0,626.0
2100105,Afonso Cunha - MA,2010,661.0,635.0,273.0,661.0
2100105,Afonso Cunha - MA,2011,608.0,705.0,423.0,608.0
2100105,Afonso Cunha - MA,2012,570.0,274.0,244.0,570.0
2100105,Afonso Cunha - MA,2013,480.0,230.0,182.0,480.0
2100105,Afonso Cunha - MA,2014,430.0,516.0,454.0,430.0
2100105,Afonso Cunha - MA,2015,390.0,421.0,400.0,390.0
2100105,Afonso Cunha - MA,2016,380.0,239.0,191.0,380.0
2100105,Afonso Cunha - MA,2017,340.0,299.0,269.0,340.0
2100105,Afonso Cunha - MA,2018,260.0,234.0,211.0,260.0
2100105,Afonso Cunha - MA,2019,220.0,196.0,176.0,220.0
2100105,Afonso Cunha - MA,2020,210.0,193.0,189.0,210.0
2100105,Afonso Cunha - MA,2021,200.0,180.0,281.0,200.0
2100105,Afonso Cunha - MA,2022,190.0,171.0,253.0,190.0
2100105,Afonso Cunha - MA,2023,180.0,162.0,300.0,180.0
2100105,Afonso Cunha - MA,2024,170.0,153.0,199.0,170.0
2100204,Alcântara - MA,1995,430.0,400.0,134.0,430.0
2100204,Alcântara - MA,1996,493.0,493.0,165.0,493.0
2100204,Alcântara - MA,1997,494.0,494.0,128.0,494.0
2100204,Alcântara - MA,1998,495.0,495.0,104.0,495.0
2100204,Alcântara - MA,1999,490.0,500.0,110.0,490.0
2100204,Alcântara - MA,2000,495.0,513.0,103.0,495.0
2100204,Alcântara - MA,2001,460.0,467.0,93.0,460.0
2100204,Alcântara - MA,2002,435.0,548.0,247.0,435.0
2100204,Alcântara - MA,2003,476.0,571.0,257.0,476.0
2100204,Alcântara - MA,2004,499.0,599.0,341.0,499.0
2100204,Alcântara - MA,2005,488.0,586.0,176.0,488.0
2100204,Alcântara - MA,2006,464.0,556.0,234.0,464.0
2100204,Alcântara - MA,2007,496.0,737.0,590.0,496.0
2100204,Alcântara - MA,2008,496.0,737.0,332.0,496.0
2100204,Alcântara - MA,2009,471.0,367.0,165.0,471.0
2100204,Alcântara - MA,2010,504.0,655.0,327.0,504.0
2100204,Alcântara - MA,2011,459.0,550.0,292.0,459.0
2100204,Alcântara - MA,2012,450.0,540.0,351.0,450.0
2100204,Alcântara - MA,2013,430.0,249.0,153.0,430.0
