municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100105,Afonso Cunha - MA,1995,3.0,2.0
2100105,Afonso Cunha - MA,1996,4.0,4.0
2100105,Afonso Cunha - MA,1997,4.0,4.0
2100105,Afonso Cunha - MA,1998,10.0,10.0
2100105,Afonso Cunha - MA,1999,10.0,10.0
2100105,Afonso Cunha - MA,2000,10.0,11.0
2100105,Afonso Cunha - MA,2001,86.0,69.0
2100105,Afonso Cunha - MA,2002,98.0,25.0
2100105,Afonso Cunha - MA,2003,98.0,27.0
2100105,Afonso Cunha - MA,2004,98.0,29.0
2100105,Afonso Cunha - MA,2005,98.0,30.0
2100105,Afonso Cunha - MA,2006,98.0,30.0
2100105,Afonso Cunha - MA,2007,98.0,30.0
2100105,Afonso Cunha - MA,2008,96.0,30.0
2100105,Afonso Cunha - MA,2009,96.0,30.0
2100105,Afonso Cunha - MA,2010,96.0,62.0
2100105,Afonso Cunha - MA,2011,96.0,31.0
2100105,Afonso Cunha - MA,2012,96.0,47.0
2100105,Afonso Cunha - MA,2013,78.0,31.0
2100105,Afonso Cunha - MA,2014,60.0,38.0
2100105,Afonso Cunha - MA,2015,40.0,24.0
2100105,Afonso Cunha - MA,2016,35.0,25.0
2100105,Afonso Cunha - MA,2017,35.0,25.0
2100105,Afonso Cunha - MA,2018,22.0,15.0
2100105,Afonso Cunha - MA,2019,6.0,4.0
2100105,Afonso Cunha - MA,2020,5.0,4.0
2100105,Afonso Cunha - MA,2021,6.0,5.0
2100105,Afonso Cunha - MA,2022,4.0,3.0
2100105,Afonso Cunha - MA,2023,4.0,4.0
2100105,Afonso Cunha - MA,2024,4.0,5.0
2100204,Alcântara - MA,1995,30.0,29.0
2100204,Alcântara - MA,1996,324.0,340.0
2100204,Alcântara - MA,1997,310.0,388.0
2100204,Alcântara - MA,1998,310.0,388.0
2100204,Alcântara - MA,1999,210.0,420.0
2100204,Alcântara - MA,2000,204.0,224.0
2100204,Alcântara - MA,2001,1800.0,1440.0
2100204,Alcântara - MA,2002,1800.0,220.0
2100204,Alcântara - MA,2003,1620.0,211.0
2100204,Alcântara - MA,2004,1710.0,1026.0
2100204,Alcântara - MA,2005,1615.0,1017.0
2100204,Alcântara - MA,2006,930.0,651.0
2100204,Alcântara - MA,2007,800.0,480.0
2100204,Alcântara - MA,2008,1040.0,676.0
2100204,Alcântara - MA,2009,810.0,486.0
2100204,Alcântara - MA,2010,900.0,540.0
2100204,Alcântara - MA,2011,1072.0,643.0
2100204,Alcântara - MA,2012,1072.0,708.0
2100204,Alcântara - MA,2013,1078.0,696.0
2100204,Alcântara - MA,2014,975.0,628.0
2100204,Alcântara - MA,2015,975.0,606.0
2100204,Alcântara - MA,2016,520.0,372.0
2100204,Alcântara - MA,2017,492.0,350.0
2100204,Alcântara - MA,2018,526.0,376.0
2100204,Alcântara - MA,2019,516.0,370.0
2100204,Alcântara - MA,2020,517.0,380.0
2100204,Alcântara - MA,2021,455.0,398.0
2100204,Alcântara - MA,2022,432.0,384.0
2100204,Alcântara - MA,2023,430.0,545.0
2100204,Alcântara - MA,2024,424.0,651.0
2100303,Aldeias Altas - MA,1995,23.0,18.0
2100303,Aldeias Altas - MA,1996,17.0,16.0
2100303,Aldeias Altas - MA,1997,18.0,17.0
2100303,Aldeias Altas - MA,1998,7.0,7.0
2100303,Aldeias Altas - MA,1999,7.0,7.0
2100303,Aldeias Altas - MA,2000,7.0,7.0
2100303,Aldeias Altas - MA,2001,60.0,48.0
2100303,Aldeias Altas - MA,2002,65.0,16.0
2100303,Aldeias Altas - MA,2003,65.0,17.0
2100303,Aldeias Altas - MA,2004,65.0,20.0
2100303,Aldeias Altas - MA,2005,65.0,20.0
2100303,Aldeias Altas - MA,2006,65.0,20.0
2100303,Aldeias Altas - MA,2007,66.0,20.0
2100303,Aldeias Altas - MA,2008,64.0,19.0
2100303,Aldeias Altas - MA,2009,64.0,20.0
2100303,Aldeias Altas - MA,2010,64.0,40.0
2100303,Aldeias Altas - MA,2011,64.0,20.0
2100303,Aldeias Altas - MA,2012,64.0,33.0
2100303,Aldeias Altas - MA,2013,50.0,29.0
2100303,Aldeias Altas - MA,2014,42.0,29.0
2100303,Aldeias Altas - MA,2015,30.0,18.0
2100303,Aldeias Altas - MA,2016,27.0,18.0
2100303,Aldeias Altas - MA,2017,27.0,20.0
2100303,Aldeias Altas - MA,2018,15.0,10.0
2100303,Aldeias Altas - MA,2019,14.0,11.0
2100303,Aldeias Altas - MA,2020,17.0,14.0
2100303,Aldeias Altas - MA,2021,16.0,15.0
2100303,Aldeias Altas - MA,2022,14.0,11.0
2100303,Aldeias Altas - MA,2023,14.0,15.0
2100303,Aldeias Altas - MA,2024,14.0,15.0
2100402,Altamira do Maranhão - MA,1995,76.0,149.0
2100402,Altamira do Maranhão - MA,1996,5.0,4.0
2100402,Altamira do Maranhão - MA,1997,3.0,3.0
2100402,Altamira do Maranhão - MA,1998,5.0,5.0
2100402,Altamira do Maranhão - MA,1999,7.0,8.0
2100402,Altamira do Maranhão - MA,2000,5.0,5.0
2100402,Altamira do Maranhão - MA,2001,19.0,15.0
2100402,Altamira do Maranhão - MA,2002,16.0,2.0
2100402,Altamira do Maranhão - MA,2003,16.0,2.0
2100402,Altamira do Maranhão - MA,2004,15.0,6.0
2100402,Altamira do Maranhão - MA,2005,18.0,7.0
2100402,Altamira do Maranhão - MA,2006,18.0,7.0
2100402,Altamira do Maranhão - MA,2007,18.0,11.0
2100402,Altamira do Maranhão - MA,2009,9.0,5.0
2100402,Altamira do Maranhão - MA,2010,26.0,7.0
2100402,Altamira do Maranhão - MA,2011,128.0,39.0
2100402,Altamira do Maranhão - MA,2012,128.0,31.0
2100402,Altamira do Maranhão - MA,2013,128.0,38.0
2100402,Altamira do Maranhão - MA,2014,128.0,38.0
2100402,Altamira do Maranhão - MA,2015,146.0,131.0
2100402,Altamira do Maranhão - MA,2016,105.0,37.0
2100402,Altamira do Maranhão - MA,2017,70.0,24.0
2100402,Altamira do Maranhão - MA,2018,49.0,57.0
2100402,Altamira do Maranhão - MA,2019,48.0,51.0
2100402,Altamira do Maranhão - MA,2020,58.0,58.0
2100402,Altamira do Maranhão - MA,2021,63.0,62.0
2100402,Altamira do Maranhão - MA,2022,63.0,63.0
2100402,Altamira do Maranhão - MA,2023,90.0,88.0
2100402,Altamira do Maranhão - MA,2024,14.0,17.0
2100436,Alto Alegre do Maranhão - MA,1997,23.0,16.0
2100436,Alto Alegre do Maranhão - MA,1998,27.0,32.0
