municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100600,Amarante do Maranhão - MA,1995,5.0,4.0
2100600,Amarante do Maranhão - MA,2000,,0.0
2100600,Amarante do Maranhão - MA,2003,12.0,16.0
2100600,Amarante do Maranhão - MA,2004,18.0,29.0
2100600,Amarante do Maranhão - MA,2005,19.0,31.0
2100600,Amarante do Maranhão - MA,2006,23.0,39.0
2100600,Amarante do Maranhão - MA,2007,26.0,42.0
2100600,Amarante do Maranhão - MA,2008,24.0,42.0
2100600,Amarante do Maranhão - MA,2009,18.0,24.0
2100600,Amarante do Maranhão - MA,2012,21.0,42.0
2100873,Araguanã - MA,2004,13.0,15.0
2100873,Araguanã - MA,2007,15.0,25.0
2100873,Araguanã - MA,2008,12.0,22.0
2100055,Açailândia - MA,1995,725.0,558.0
2100055,Açailândia - MA,1996,1107.0,1218.0
2100055,Açailândia - MA,1997,1238.0,1052.0
2100055,Açailândia - MA,1998,1217.0,1034.0
2100055,Açailândia - MA,1999,1223.0,1052.0
2100055,Açailândia - MA,2000,1160.0,992.0
2100055,Açailândia - MA,2001,1151.0,978.0
2100055,Açailândia - MA,2002,1264.0,1188.0
2100055,Açailândia - MA,2003,1365.0,1502.0
2100055,Açailândia - MA,2004,1433.0,2364.0
2100055,Açailândia - MA,2005,623.0,1015.0
2100055,Açailândia - MA,2006,1001.0,1692.0
2100055,Açailândia - MA,2007,1632.0,2709.0
2100055,Açailândia - MA,2008,1480.0,2560.0
2100055,Açailândia - MA,2009,1296.0,1724.0
2100055,Açailândia - MA,2010,1108.0,1967.0
2100055,Açailândia - MA,2011,1156.0,2809.0
2100055,Açailândia - MA,2012,1003.0,2508.0
2100055,Açailândia - MA,2013,882.0,1940.0
2100055,Açailândia - MA,2014,746.0,1604.0
2100055,Açailândia - MA,2015,149.0,283.0
2100055,Açailândia - MA,2016,152.0,304.0
2100055,Açailândia - MA,2017,283.0,594.0
2100055,Açailândia - MA,2018,258.0,568.0
2100055,Açailândia - MA,2019,672.0,1411.0
2100055,Açailândia - MA,2020,318.0,716.0
2100055,Açailândia - MA,2021,246.0,677.0
2100055,Açailândia - MA,2022,5.0,15.0
2100055,Açailândia - MA,2023,4.0,8.0
2103257,Cidelândia - MA,1997,71.0,60.0
2103257,Cidelândia - MA,1998,69.0,59.0
2103257,Cidelândia - MA,1999,80.0,56.0
2103257,Cidelândia - MA,2000,55.0,47.0
2103257,Cidelândia - MA,2001,65.0,55.0
2103257,Cidelândia - MA,2002,76.0,71.0
2103257,Cidelândia - MA,2003,75.0,75.0
2103257,Cidelândia - MA,2004,55.0,83.0
2103257,Cidelândia - MA,2005,53.0,80.0
2103257,Cidelândia - MA,2006,55.0,83.0
2103257,Cidelândia - MA,2007,65.0,104.0
2103257,Cidelândia - MA,2008,45.0,86.0
2103257,Cidelândia - MA,2009,43.0,84.0
2103257,Cidelândia - MA,2010,42.0,79.0
2103257,Cidelândia - MA,2011,42.0,84.0
2103257,Cidelândia - MA,2012,38.0,76.0
2103257,Cidelândia - MA,2013,26.0,52.0
2103257,Cidelândia - MA,2014,8.0,15.0
2103257,Cidelândia - MA,2015,14.0,26.0
2103257,Cidelândia - MA,2016,6.0,12.0
2105302,Imperatriz - MA,1995,113.0,90.0
2105302,Imperatriz - MA,1996,148.0,163.0
2105302,Imperatriz - MA,1997,44.0,37.0
2105302,Imperatriz - MA,1998,41.0,35.0
2105302,Imperatriz - MA,1999,48.0,38.0
2105302,Imperatriz - MA,2000,45.0,37.0
2105302,Imperatriz - MA,2001,61.0,55.0
2105302,Imperatriz - MA,2002,60.0,57.0
2105302,Imperatriz - MA,2003,40.0,54.0
2105302,Imperatriz - MA,2004,56.0,92.0
2105302,Imperatriz - MA,2005,82.0,132.0
2105302,Imperatriz - MA,2006,56.0,95.0
2105302,Imperatriz - MA,2007,74.0,126.0
2105302,Imperatriz - MA,2008,70.0,123.0
2105302,Imperatriz - MA,2009,73.0,128.0
2105302,Imperatriz - MA,2010,50.0,88.0
2105302,Imperatriz - MA,2011,54.0,116.0
2105302,Imperatriz - MA,2012,59.0,134.0
2105302,Imperatriz - MA,2013,50.0,110.0
2105302,Imperatriz - MA,2014,22.0,52.0
2105302,Imperatriz - MA,2015,10.0,19.0
2105302,Imperatriz - MA,2016,8.0,17.0
2105302,Imperatriz - MA,2018,41.0,88.0
2105302,Imperatriz - MA,2019,38.0,76.0
2105302,Imperatriz - MA,2020,12.0,24.0
2105302,Imperatriz - MA,2021,38.0,62.0
2105302,Imperatriz - MA,2022,70.0,196.0
2105302,Imperatriz - MA,2023,11.0,22.0
2105427,Itinga do Maranhão - MA,1997,402.0,342.0
2105427,Itinga do Maranhão - MA,1998,348.0,296.0
2105427,Itinga do Maranhão - MA,1999,350.0,245.0
2105427,Itinga do Maranhão - MA,2000,352.0,299.0
2105427,Itinga do Maranhão - MA,2001,337.0,286.0
2105427,Itinga do Maranhão - MA,2002,764.0,649.0
2105427,Itinga do Maranhão - MA,2003,689.0,710.0
2105427,Itinga do Maranhão - MA,2004,937.0,1321.0
2105427,Itinga do Maranhão - MA,2005,1346.0,2059.0
2105427,Itinga do Maranhão - MA,2007,1682.0,2809.0
2105427,Itinga do Maranhão - MA,2008,1562.0,2734.0
2105427,Itinga do Maranhão - MA,2009,1483.0,2313.0
2105427,Itinga do Maranhão - MA,2010,1350.0,2119.0
2105427,Itinga do Maranhão - MA,2011,1045.0,1515.0
2105427,Itinga do Maranhão - MA,2012,1024.0,1864.0
2105427,Itinga do Maranhão - MA,2013,883.0,1766.0
2105427,Itinga do Maranhão - MA,2014,1050.0,2258.0
2105427,Itinga do Maranhão - MA,2015,745.0,1416.0
2105427,Itinga do Maranhão - MA,2016,1144.0,2288.0
2105427,Itinga do Maranhão - MA,2017,1003.0,2106.0
2105427,Itinga do Maranhão - MA,2018,630.0,1386.0
2105427,Itinga do Maranhão - MA,2019,279.0,586.0
2105427,Itinga do Maranhão - MA,2020,194.0,437.0
2105427,Itinga do Maranhão - MA,2021,202.0,556.0
2105427,Itinga do Maranhão - MA,2022,138.0,414.0
2105427,Itinga do Maranhão - MA,2023,111.0,311.0
2105427,Itinga do Maranhão - MA,2024,73.0,219.0
2107357,Nova Olinda do Maranhão - MA,2002,18.0,17.0
2107357,Nova Olinda do Maranhão - MA,2003,33.0,40.0
2107357,Nova Olinda do Maranhão - MA,2004,25.0,0.0
2107357,Nova Olinda do Maranhão - MA,2005,42.0,67.0
2107357,Nova Olinda do Maranhão - MA,2006,25.0,38.0
2107357,Nova Olinda do Maranhão - MA,2007,36.0,60.0
2107357,Nova Olinda do Maranhão - MA,2008,50.0,88.0
2107357,Nova Olinda do Maranhão - MA,2012,199.0,557.0
2110039,Santa Luzia do Paruá - MA,1995,5.0,2.0
2110039,Santa Luzia do Paruá - MA,1996,26.0,22.0
2110039,Santa Luzia do Paruá - MA,2004,10.0,12.0
2110039,Santa Luzia do Paruá - MA,2005,20.0,32.0
2110039,Santa Luzia do Paruá - MA,2007,61.0,101.0
2110039,Santa Luzia do Paruá - MA,2008,65.0,111.0
2110039,Santa Luzia do Paruá - MA,2012,28.0,76.0
2110856,São Francisco do Brejão - MA,2016,9.0,19.0
2110856,São Francisco do Brejão - MA,2017,20.0,44.0
2110856,São Francisco do Brejão - MA,2018,26.0,57.0
2110856,São Francisco do Brejão - MA,2019,53.0,106.0
2110856,São Francisco do Brejão - MA,2020,47.0,103.0
2110856,São Francisco do Brejão - MA,2021,60.0,144.0
2110856,São Francisco do Brejão - MA,2022,80.0,224.0
2110856,São Francisco do Brejão - MA,2023,77.0,208.0
2110856,São Francisco do Brejão - MA,2024,77.0,239.0
2111532,São Pedro da Água Branca - MA,1997,14.0,12.0
2111532,São Pedro da Água Branca - MA,1998,13.0,11.0
2111532,São Pedro da Água Branca - MA,1999,15.0,11.0
2111532,São Pedro da Água Branca - MA,2000,14.0,12.0
2111532,São Pedro da Água Branca - MA,2001,36.0,31.0
2111532,São Pedro da Água Branca - MA,2002,19.0,16.0
2111532,São Pedro da Água Branca - MA,2003,23.0,23.0
2111532,São Pedro da Água Branca - MA,2004,12.0,14.0
2111532,São Pedro da Água Branca - MA,2005,15.0,23.0
2111532,São Pedro da Água Branca - MA,2006,36.0,54.0
2111532,São Pedro da Água Branca - MA,2007,15.0,25.0
2111532,São Pedro da Água Branca - MA,2008,18.0,31.0
2111532,São Pedro da Água Branca - MA,2009,18.0,31.0
2111532,São Pedro da Água Branca - MA,2011,24.0,48.0
2111532,São Pedro da Água Branca - MA,2012,22.0,48.0
2111532,São Pedro da Água Branca - MA,2013,23.0,53.0
2111532,São Pedro da Água Branca - MA,2014,24.0,55.0
2111532,São Pedro da Água Branca - MA,2015,30.0,60.0
2111532,São Pedro da Água Branca - MA,2016,30.0,60.0
2111532,São Pedro da Água Branca - MA,2017,34.0,68.0
2111532,São Pedro da Água Branca - MA,2018,34.0,71.0
2111532,São Pedro da Água Branca - MA,2019,34.0,68.0
2111532,São Pedro da Água Branca - MA,2020,33.0,74.0
2111532,São Pedro da Água Branca - MA,2021,48.0,120.0
2111532,São Pedro da Água Branca - MA,2022,33.0,99.0
2111532,São Pedro da Água Branca - MA,2023,35.0,70.0
2111532,São Pedro da Água Branca - MA,2024,33.0,99.0
2111573,São Pedro dos Crentes - MA,2010,16.0,25.0
2114007,Zé Doca - MA,2002,57.0,54.0
2114007,Zé Doca - MA,2003,63.0,76.0
2114007,Zé Doca - MA,2004,20.0,0.0
2114007,Zé Doca - MA,2005,66.0,106.0
2114007,Zé Doca - MA,2007,48.0,80.0
2114007,Zé Doca - MA,2008,50.0,90.0
2114007,Zé Doca - MA,2012,40.0,96.0
2114007,Zé Doca - MA,2013,43.0,103.0
