municipio_id,municipio,ano,efetivo_cabecas
2100105,Afonso Cunha - MA,1995,
2100105,Afonso Cunha - MA,1996,
2100105,Afonso Cunha - MA,1997,
2100105,Afonso Cunha - MA,1998,
2100105,Afonso Cunha - MA,1999,
2100105,Afonso Cunha - MA,2000,
2100105,Afonso Cunha - MA,2001,
2100105,Afonso Cunha - MA,2002,
2100105,Afonso Cunha - MA,2003,
2100105,Afonso Cunha - MA,2004,
2100105,Afonso Cunha - MA,2005,
2100105,Afonso Cunha - MA,2006,
2100105,Afonso Cunha - MA,2007,
2100105,Afonso Cunha - MA,2008,
2100105,Afonso Cunha - MA,2009,
2100105,Afonso Cunha - MA,2010,
2100105,Afonso Cunha - MA,2011,
2100105,Afonso Cunha - MA,2012,
2100105,Afonso Cunha - MA,2013,
2100105,Afonso Cunha - MA,2014,
2100105,Afonso Cunha - MA,2015,
2100105,Afonso Cunha - MA,2016,
2100105,Afonso Cunha - MA,2017,
2100105,Afonso Cunha - MA,2018,
2100105,Afonso Cunha - MA,2019,
2100105,Afonso Cunha - MA,2020,
2100105,Afonso Cunha - MA,2021,
2100105,Afonso Cunha - MA,2022,
2100105,Afonso Cunha - MA,2023,
2100105,Afonso Cunha - MA,2024,
2100204,Alcântara - MA,1995,182.0
2100204,Alcântara - MA,1996,
2100204,Alcântara - MA,1997,
2100204,Alcântara - MA,1998,
2100204,Alcântara - MA,1999,
2100204,Alcântara - MA,2000,
2100204,Alcântara - MA,2001,
2100204,Alcântara - MA,2002,
2100204,Alcântara - MA,2003,15.0
2100204,Alcântara - MA,2004,18.0
2100204,Alcântara - MA,2005,20.0
2100204,Alcântara - MA,2006,140.0
2100204,Alcântara - MA,2007,129.0
2100204,Alcântara - MA,2008,120.0
2100204,Alcântara - MA,2009,86.0
2100204,Alcântara - MA,2010,85.0
2100204,Alcântara - MA,2011,88.0
2100204,Alcântara - MA,2012,90.0
2100204,Alcântara - MA,2013,95.0
2100204,Alcântara - MA,2014,103.0
2100204,Alcântara - MA,2015,120.0
2100204,Alcântara - MA,2016,118.0
2100204,Alcântara - MA,2017,113.0
2100204,Alcântara - MA,2018,121.0
2100204,Alcântara - MA,2019,125.0
2100204,Alcântara - MA,2020,127.0
2100204,Alcântara - MA,2021,128.0
2100204,Alcântara - MA,2022,130.0
2100204,Alcântara - MA,2023,131.0
2100204,Alcântara - MA,2024,128.0
2100303,Aldeias Altas - MA,1995,
2100303,Aldeias Altas - MA,1996,
2100303,Aldeias Altas - MA,1997,
