municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100303,Aldeias Altas - MA,1997,2.0,2.0
2100907,Araioses - MA,1994,414.0,552.0
2100907,Araioses - MA,1995,417.0,760.0
2100907,Araioses - MA,1996,434.0,778.0
2100907,Araioses - MA,1997,437.0,831.0
2100907,Araioses - MA,1998,439.0,831.0
2100907,Araioses - MA,1999,437.0,841.0
2100907,Araioses - MA,2000,437.0,1077.0
2100907,Araioses - MA,2001,437.0,865.0
2100907,Araioses - MA,2002,438.0,1477.0
2100907,Araioses - MA,2003,438.0,1952.0
2100907,Araioses - MA,2004,441.0,2444.0
2100907,Araioses - MA,2005,447.0,2997.0
2100907,Araioses - MA,2006,449.0,3948.0
2100907,Araioses - MA,2007,452.0,1184.0
2100907,Araioses - MA,2008,440.0,4215.0
2100907,Araioses - MA,2009,449.0,5161.0
2100907,Araioses - MA,2010,453.0,6101.0
2100907,Araioses - MA,2011,455.0,1859.0
2100907,Araioses - MA,2012,458.0,1852.0
2100907,Araioses - MA,2013,460.0,1970.0
2100907,Araioses - MA,2014,464.0,2125.0
2100907,Araioses - MA,2015,466.0,2416.0
2100907,Araioses - MA,2016,450.0,2342.0
2100907,Araioses - MA,2017,451.0,2796.0
2100907,Araioses - MA,2018,453.0,2943.0
2100907,Araioses - MA,2019,475.0,3113.0
2100907,Araioses - MA,2020,417.0,2708.0
2100907,Araioses - MA,2021,354.0,2744.0
2100907,Araioses - MA,2022,315.0,2898.0
2100907,Araioses - MA,2023,284.0,3119.0
2100907,Araioses - MA,2024,232.0,3022.0
2101707,Barreirinhas - MA,2004,15.0,33.0
2101707,Barreirinhas - MA,2005,16.0,36.0
2101707,Barreirinhas - MA,2006,14.0,33.0
2101707,Barreirinhas - MA,2007,10.0,41.0
2101707,Barreirinhas - MA,2008,12.0,59.0
2101707,Barreirinhas - MA,2009,15.0,75.0
2101707,Barreirinhas - MA,2010,16.0,104.0
2101707,Barreirinhas - MA,2011,15.0,99.0
2101707,Barreirinhas - MA,2012,15.0,97.0
2101707,Barreirinhas - MA,2013,14.0,82.0
2101707,Barreirinhas - MA,2014,13.0,78.0
2101707,Barreirinhas - MA,2015,12.0,66.0
2101707,Barreirinhas - MA,2016,11.0,69.0
2101707,Barreirinhas - MA,2017,12.0,82.0
2101707,Barreirinhas - MA,2018,12.0,75.0
2101707,Barreirinhas - MA,2019,12.0,84.0
2101707,Barreirinhas - MA,2020,11.0,84.0
2101707,Barreirinhas - MA,2021,12.0,100.0
2101707,Barreirinhas - MA,2022,11.0,92.0
2101707,Barreirinhas - MA,2023,10.0,88.0
2101707,Barreirinhas - MA,2024,10.0,85.0
2101509,Barão de Grajaú - MA,1994,26.0,7.0
2101509,Barão de Grajaú - MA,1995,15.0,25.0
2101509,Barão de Grajaú - MA,1996,13.0,12.0
2101509,Barão de Grajaú - MA,1997,11.0,11.0
2101509,Barão de Grajaú - MA,1998,10.0,10.0
2101509,Barão de Grajaú - MA,1999,10.0,10.0
2101509,Barão de Grajaú - MA,2000,7.0,9.0
2101509,Barão de Grajaú - MA,2002,12.0,17.0
2101509,Barão de Grajaú - MA,2003,10.0,14.0
2101509,Barão de Grajaú - MA,2004,16.0,25.0
2101509,Barão de Grajaú - MA,2005,11.0,16.0
2101509,Barão de Grajaú - MA,2006,10.0,16.0
2101509,Barão de Grajaú - MA,2007,7.0,12.0
2101509,Barão de Grajaú - MA,2008,11.0,22.0
2101509,Barão de Grajaú - MA,2009,11.0,27.0
2101509,Barão de Grajaú - MA,2010,5.0,20.0
2101509,Barão de Grajaú - MA,2011,5.0,21.0
2101509,Barão de Grajaú - MA,2012,5.0,28.0
2101509,Barão de Grajaú - MA,2013,4.0,19.0
2101509,Barão de Grajaú - MA,2014,4.0,19.0
2101509,Barão de Grajaú - MA,2015,4.0,20.0
2101509,Barão de Grajaú - MA,2016,13.0,83.0
2101509,Barão de Grajaú - MA,2017,12.0,85.0
2101509,Barão de Grajaú - MA,2018,15.0,87.0
2101509,Barão de Grajaú - MA,2019,5.0,32.0
2101509,Barão de Grajaú - MA,2020,4.0,32.0
2101509,Barão de Grajaú - MA,2021,1.0,11.0
2101509,Barão de Grajaú - MA,2022,4.0,53.0
2102101,Brejo - MA,1994,17.0,22.0
2102101,Brejo - MA,1995,17.0,30.0
2102101,Brejo - MA,1996,20.0,32.0
2102101,Brejo - MA,1997,3.0,6.0
2102101,Brejo - MA,1998,3.0,5.0
2102101,Brejo - MA,1999,3.0,6.0
2102101,Brejo - MA,2000,3.0,7.0
2102101,Brejo - MA,2001,3.0,6.0
2102101,Brejo - MA,2002,3.0,9.0
2102101,Brejo - MA,2017,21.0,176.0
2102408,Cajapió - MA,2017,46.0,364.0
2102408,Cajapió - MA,2018,47.0,401.0
2102408,Cajapió - MA,2019,49.0,404.0
2102408,Cajapió - MA,2020,50.0,421.0
2102408,Cajapió - MA,2021,48.0,436.0
2102408,Cajapió - MA,2022,46.0,463.0
2102408,Cajapió - MA,2023,19.0,194.0
2103000,Caxias - MA,1997,4.0,3.0
2103000,Caxias - MA,1998,3.0,3.0
2103000,Caxias - MA,1999,3.0,3.0
2103000,Caxias - MA,2000,2.0,2.0
2103000,Caxias - MA,2001,1.0,2.0
2103000,Caxias - MA,2002,1.0,2.0
2103000,Caxias - MA,2003,1.0,1.0
2103000,Caxias - MA,2004,1.0,1.0
2103000,Caxias - MA,2005,1.0,1.0
2103000,Caxias - MA,2006,0.0,1.0
2103000,Caxias - MA,2007,0.0,1.0
2103000,Caxias - MA,2008,0.0,1.0
2103000,Caxias - MA,2009,0.0,0.0
2103208,Chapadinha - MA,1994,55.0,72.0
2103208,Chapadinha - MA,1995,50.0,89.0
2103208,Chapadinha - MA,1996,9.0,27.0
2103208,Chapadinha - MA,1997,8.0,8.0
2103208,Chapadinha - MA,1998,7.0,9.0
2103208,Chapadinha - MA,1999,7.0,13.0
2103208,Chapadinha - MA,2000,7.0,13.0
2103307,Codó - MA,1997,5.0,4.0
2103307,Codó - MA,1998,4.0,4.0
2103307,Codó - MA,1999,4.0,4.0
2103307,Codó - MA,2000,3.0,4.0
2103307,Codó - MA,2001,3.0,4.0
2103307,Codó - MA,2002,3.0,4.0
2103307,Codó - MA,2003,2.0,4.0
2103307,Codó - MA,2004,2.0,4.0
2103307,Codó - MA,2005,2.0,2.0
2103307,Codó - MA,2006,1.0,2.0
2103307,Codó - MA,2007,1.0,2.0
2103307,Codó - MA,2008,1.0,2.0
