municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100204,Alcântara - MA,1995,160.0,77.0
2100204,Alcântara - MA,1996,56.0,32.0
2100204,Alcântara - MA,1997,60.0,30.0
2100204,Alcântara - MA,1998,60.0,30.0
2100204,Alcântara - MA,1999,63.0,38.0
2100204,Alcântara - MA,2000,66.0,26.0
2100204,Alcântara - MA,2001,99.0,39.0
2100204,Alcântara - MA,2002,99.0,39.0
2100204,Alcântara - MA,2003,99.0,39.0
2100204,Alcântara - MA,2004,112.0,45.0
2100204,Alcântara - MA,2005,112.0,56.0
2100204,Alcântara - MA,2006,100.0,50.0
2100204,Alcântara - MA,2007,100.0,50.0
2100204,Alcântara - MA,2008,100.0,50.0
2100204,Alcântara - MA,2009,108.0,54.0
2100204,Alcântara - MA,2010,105.0,52.0
2100204,Alcântara - MA,2011,105.0,53.0
2100204,Alcântara - MA,2012,105.0,74.0
2100204,Alcântara - MA,2013,125.0,69.0
2100204,Alcântara - MA,2014,104.0,62.0
2100204,Alcântara - MA,2015,104.0,62.0
2100204,Alcântara - MA,2016,98.0,59.0
2100204,Alcântara - MA,2017,97.0,65.0
2100204,Alcântara - MA,2018,102.0,68.0
2100204,Alcântara - MA,2019,110.0,75.0
2100204,Alcântara - MA,2020,109.0,75.0
2100204,Alcântara - MA,2021,94.0,62.0
2100204,Alcântara - MA,2022,96.0,51.0
2100204,Alcântara - MA,2023,97.0,71.0
2100204,Alcântara - MA,2024,96.0,89.0
2100303,Aldeias Altas - MA,1995,9.0,2.0
2100303,Aldeias Altas - MA,1996,3.0,1.0
2100303,Aldeias Altas - MA,1997,3.0,1.0
2100303,Aldeias Altas - MA,1998,3.0,1.0
2100303,Aldeias Altas - MA,1999,3.0,1.0
2100303,Aldeias Altas - MA,2000,3.0,1.0
2100303,Aldeias Altas - MA,2001,3.0,1.0
2100303,Aldeias Altas - MA,2002,3.0,1.0
2100303,Aldeias Altas - MA,2003,3.0,1.0
2100303,Aldeias Altas - MA,2004,3.0,1.0
2100303,Aldeias Altas - MA,2005,3.0,1.0
2100303,Aldeias Altas - MA,2006,3.0,1.0
2100303,Aldeias Altas - MA,2007,3.0,1.0
2100303,Aldeias Altas - MA,2008,3.0,1.0
2100303,Aldeias Altas - MA,2009,3.0,2.0
2100303,Aldeias Altas - MA,2010,3.0,1.0
2100303,Aldeias Altas - MA,2011,3.0,2.0
2100303,Aldeias Altas - MA,2012,3.0,2.0
2100303,Aldeias Altas - MA,2013,3.0,3.0
2100303,Aldeias Altas - MA,2014,2.0,2.0
