municipio_id,municipio,ano,quantidade_mil_litros,valor_mil_reais
2100105,Afonso Cunha - MA,1995,54.0,32.0
2100105,Afonso Cunha - MA,1996,51.0,31.0
2100105,Afonso Cunha - MA,1997,55.0,32.0
2100105,Afonso Cunha - MA,1998,48.0,29.0
2100105,Afonso Cunha - MA,1999,46.0,37.0
2100105,Afonso Cunha - MA,2000,46.0,39.0
2100105,Afonso Cunha - MA,2001,44.0,40.0
2100105,Afonso Cunha - MA,2002,45.0,45.0
2100105,Afonso Cunha - MA,2003,43.0,43.0
2100105,Afonso Cunha - MA,2004,42.0,42.0
2100105,Afonso Cunha - MA,2005,45.0,45.0
2100105,Afonso Cunha - MA,2006,48.0,39.0
2100105,Afonso Cunha - MA,2007,29.0,31.0
2100105,Afonso Cunha - MA,2008,30.0,39.0
2100105,Afonso Cunha - MA,2009,29.0,43.0
2100105,Afonso Cunha - MA,2010,30.0,42.0
2100105,Afonso Cunha - MA,2011,35.0,42.0
2100105,Afonso Cunha - MA,2012,33.0,42.0
2100105,Afonso Cunha - MA,2013,28.0,39.0
2100105,Afonso Cunha - MA,2014,25.0,38.0
2100105,Afonso Cunha - MA,2015,23.0,36.0
2100105,Afonso Cunha - MA,2016,18.0,33.0
2100105,Afonso Cunha - MA,2017,20.0,40.0
2100105,Afonso Cunha - MA,2018,18.0,29.0
2100105,Afonso Cunha - MA,2019,16.0,27.0
2100105,Afonso Cunha - MA,2020,18.0,32.0
2100105,Afonso Cunha - MA,2021,19.0,41.0
2100105,Afonso Cunha - MA,2022,21.0,78.0
2100105,Afonso Cunha - MA,2023,22.0,86.0
2100105,Afonso Cunha - MA,2024,23.0,92.0
2100204,Alcântara - MA,1995,138.0,68.0
2100204,Alcântara - MA,1996,4.0,2.0
2100204,Alcântara - MA,1997,3.0,2.0
2100204,Alcântara - MA,1998,4.0,2.0
2100204,Alcântara - MA,1999,4.0,2.0
2100204,Alcântara - MA,2000,4.0,4.0
2100204,Alcântara - MA,2001,4.0,4.0
2100204,Alcântara - MA,2002,6.0,9.0
2100204,Alcântara - MA,2003,6.0,6.0
2100204,Alcântara - MA,2004,6.0,6.0
2100204,Alcântara - MA,2005,5.0,5.0
2100204,Alcântara - MA,2006,6.0,6.0
2100204,Alcântara - MA,2007,7.0,7.0
2100204,Alcântara - MA,2008,7.0,7.0
2100204,Alcântara - MA,2009,6.0,6.0
2100204,Alcântara - MA,2010,4.0,4.0
2100204,Alcântara - MA,2017,6.0,6.0
2100204,Alcântara - MA,2018,6.0,7.0
2100204,Alcântara - MA,2019,6.0,8.0
2100204,Alcântara - MA,2020,6.0,8.0
2100204,Alcântara - MA,2021,6.0,9.0
2100204,Alcântara - MA,2022,6.0,10.0
2100204,Alcântara - MA,2023,6.0,11.0
2100303,Aldeias Altas - MA,1995,86.0,43.0
2100303,Aldeias Altas - MA,1996,76.0,42.0
2100303,Aldeias Altas - MA,1997,76.0,44.0
2100303,Aldeias Altas - MA,1998,88.0,53.0
2100303,Aldeias Altas - MA,1999,86.0,50.0
2100303,Aldeias Altas - MA,2000,87.0,61.0
2100303,Aldeias Altas - MA,2001,88.0,61.0
2100303,Aldeias Altas - MA,2002,89.0,81.0
2100303,Aldeias Altas - MA,2003,91.0,91.0
2100303,Aldeias Altas - MA,2004,94.0,94.0
2100303,Aldeias Altas - MA,2005,97.0,97.0
2100303,Aldeias Altas - MA,2006,87.0,96.0
2100303,Aldeias Altas - MA,2007,63.0,75.0
2100303,Aldeias Altas - MA,2008,71.0,99.0
