municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100204,Alcântara - MA,1997,148.0,30.0
2100204,Alcântara - MA,1998,133.0,27.0
2100204,Alcântara - MA,1999,143.0,30.0
2100600,Amarante do Maranhão - MA,1996,20.0,2.0
2100600,Amarante do Maranhão - MA,1997,28.0,2.0
2100600,Amarante do Maranhão - MA,1998,23.0,2.0
2100600,Amarante do Maranhão - MA,1999,27.0,2.0
2100600,Amarante do Maranhão - MA,2000,26.0,2.0
2100600,Amarante do Maranhão - MA,2001,6.0,2.0
2100600,Amarante do Maranhão - MA,2002,6.0,2.0
2100600,Amarante do Maranhão - MA,2003,16.0,5.0
2100600,Amarante do Maranhão - MA,2004,15.0,6.0
2100600,Amarante do Maranhão - MA,2005,12.0,5.0
2100600,Amarante do Maranhão - MA,2006,12.0,4.0
2100600,Amarante do Maranhão - MA,2007,12.0,5.0
2100600,Amarante do Maranhão - MA,2023,22.0,50.0
2100808,Anapurus - MA,1999,112.0,13.0
2101004,Arari - MA,1999,375.0,19.0
2100055,Açailândia - MA,1995,44.0,7.0
2100055,Açailândia - MA,1996,43.0,6.0
2100055,Açailândia - MA,1997,48.0,4.0
2100055,Açailândia - MA,1998,44.0,4.0
2101251,Bacabeira - MA,2008,46.0,60.0
2101707,Barreirinhas - MA,1997,20.0,4.0
2101707,Barreirinhas - MA,1998,27.0,6.0
2101707,Barreirinhas - MA,1999,35.0,9.0
2101707,Barreirinhas - MA,2000,46.0,12.0
2101707,Barreirinhas - MA,2001,38.0,10.0
2101707,Barreirinhas - MA,2002,45.0,13.0
2101707,Barreirinhas - MA,2003,45.0,13.0
2101707,Barreirinhas - MA,2004,30.0,15.0
2101707,Barreirinhas - MA,2005,18.0,13.0
2102556,Campestre do Maranhão - MA,2024,246.0,492.0
2103208,Chapadinha - MA,2010,31.0,7.0
2103802,Dom Pedro - MA,2001,135.0,35.0
2103802,Dom Pedro - MA,2002,208.0,73.0
2103802,Dom Pedro - MA,2003,400.0,160.0
2103802,Dom Pedro - MA,2004,380.0,220.0
2103802,Dom Pedro - MA,2005,365.0,215.0
2103802,Dom Pedro - MA,2007,3873.0,2905.0
2103802,Dom Pedro - MA,2008,3789.0,3050.0
2103802,Dom Pedro - MA,2014,2280.0,1824.0
2103802,Dom Pedro - MA,2015,2191.0,1709.0
2103802,Dom Pedro - MA,2017,2738.0,1369.0
2103802,Dom Pedro - MA,2018,2816.0,1478.0
2103802,Dom Pedro - MA,2019,2100.0,1092.0
2103802,Dom Pedro - MA,2020,1827.0,1142.0
2103802,Dom Pedro - MA,2021,1774.0,1114.0
2103802,Dom Pedro - MA,2022,1844.0,1153.0
2103802,Dom Pedro - MA,2023,1774.0,1118.0
