municipio_id,municipio,ano,area_plantada_ha,quantidade_ton,valor_mil_reais,area_colhida_ha
2100105,Afonso Cunha - MA,1995,140.0,910.0,36.0,140.0
2100105,Afonso Cunha - MA,1996,65.0,246.0,9.0,65.0
2100105,Afonso Cunha - MA,1997,60.0,217.0,8.0,60.0
2100105,Afonso Cunha - MA,1998,127.0,508.0,25.0,127.0
2100105,Afonso Cunha - MA,1999,60.0,300.0,17.0,60.0
2100105,Afonso Cunha - MA,2000,88.0,440.0,26.0,88.0
2100105,Afonso Cunha - MA,2001,85.0,459.0,26.0,85.0
2100105,Afonso Cunha - MA,2002,110.0,583.0,42.0,110.0
2100105,Afonso Cunha - MA,2003,126.0,709.0,56.0,126.0
2100105,Afonso Cunha - MA,2004,136.0,763.0,61.0,136.0
2100105,Afonso Cunha - MA,2005,120.0,672.0,54.0,120.0
2100105,Afonso Cunha - MA,2006,100.0,600.0,30.0,100.0
2100105,Afonso Cunha - MA,2007,105.0,600.0,33.0,105.0
2100105,Afonso Cunha - MA,2008,100.0,600.0,36.0,100.0
2100105,Afonso Cunha - MA,2009,100.0,600.0,42.0,100.0
2100105,Afonso Cunha - MA,2010,105.0,630.0,504.0,105.0
2100105,Afonso Cunha - MA,2011,115.0,690.0,55.0,115.0
2100105,Afonso Cunha - MA,2012,126.0,756.0,66.0,126.0
2100105,Afonso Cunha - MA,2013,113.0,678.0,81.0,113.0
2100105,Afonso Cunha - MA,2014,100.0,600.0,270.0,100.0
2100105,Afonso Cunha - MA,2015,90.0,540.0,184.0,90.0
2100105,Afonso Cunha - MA,2016,80.0,400.0,100.0,80.0
2100105,Afonso Cunha - MA,2017,75.0,360.0,90.0,75.0
2100105,Afonso Cunha - MA,2018,70.0,450.0,146.0,70.0
2100105,Afonso Cunha - MA,2019,50.0,200.0,60.0,50.0
2100105,Afonso Cunha - MA,2020,40.0,208.0,54.0,40.0
2100105,Afonso Cunha - MA,2021,45.0,225.0,79.0,45.0
2100105,Afonso Cunha - MA,2022,45.0,225.0,79.0,45.0
2100105,Afonso Cunha - MA,2024,45.0,225.0,270.0,45.0
2100204,Alcântara - MA,1995,620.0,1953.0,348.0,620.0
2100204,Alcântara - MA,1996,1133.0,4532.0,816.0,1133.0
2100204,Alcântara - MA,1997,1136.0,4544.0,454.0,1136.0
2100204,Alcântara - MA,1998,700.0,2800.0,336.0,700.0
2100204,Alcântara - MA,1999,540.0,2160.0,302.0,540.0
2100204,Alcântara - MA,2000,490.0,2457.0,172.0,490.0
2100204,Alcântara - MA,2001,1074.0,2940.0,206.0,490.0
2100204,Alcântara - MA,2002,1160.0,12180.0,877.0,1160.0
2100204,Alcântara - MA,2003,1210.0,12100.0,1573.0,1210.0
2100204,Alcântara - MA,2004,1330.0,13300.0,1862.0,1330.0
2100204,Alcântara - MA,2005,1270.0,12700.0,2159.0,1270.0
2100204,Alcântara - MA,2006,1300.0,10920.0,1365.0,1300.0
2100204,Alcântara - MA,2007,1360.0,10880.0,2720.0,1360.0
2100204,Alcântara - MA,2008,1365.0,11200.0,2240.0,1365.0
2100204,Alcântara - MA,2009,1400.0,10080.0,2520.0,1400.0
2100204,Alcântara - MA,2010,1380.0,11040.0,2760.0,1380.0
2100204,Alcântara - MA,2011,1214.0,9712.0,2428.0,1214.0
2100204,Alcântara - MA,2012,1400.0,11200.0,3315.0,1400.0
2100204,Alcântara - MA,2013,1200.0,3990.0,1600.0,1200.0
2100204,Alcântara - MA,2014,1300.0,10712.0,4285.0,1300.0
2100204,Alcântara - MA,2015,1250.0,10319.0,3751.0,1250.0
2100204,Alcântara - MA,2016,1031.0,8764.0,2770.0,1031.0
2100204,Alcântara - MA,2017,985.0,9712.0,2914.0,985.0
2100204,Alcântara - MA,2018,740.0,6349.0,1904.0,740.0
2100204,Alcântara - MA,2019,743.0,6238.0,1903.0,743.0
2100204,Alcântara - MA,2020,588.0,6211.0,2174.0,588.0
2100204,Alcântara - MA,2021,594.0,5465.0,2197.0,594.0
2100204,Alcântara - MA,2022,624.0,4886.0,1891.0,624.0
2100204,Alcântara - MA,2023,626.0,4517.0,2171.0,626.0
