municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100105,Afonso Cunha - MA,1996,46.0,1.0
2100105,Afonso Cunha - MA,1997,47.0,1.0
2100105,Afonso Cunha - MA,1998,40.0,1.0
2100105,Afonso Cunha - MA,1999,43.0,1.0
2100105,Afonso Cunha - MA,2000,34.0,1.0
2100105,Afonso Cunha - MA,2001,6.0,1.0
2100105,Afonso Cunha - MA,2002,6.0,1.0
2100105,Afonso Cunha - MA,2003,5.0,1.0
2100105,Afonso Cunha - MA,2004,5.0,1.0
2100105,Afonso Cunha - MA,2005,5.0,1.0
2100105,Afonso Cunha - MA,2006,5.0,1.0
2100105,Afonso Cunha - MA,2007,4.0,1.0
2100105,Afonso Cunha - MA,2008,4.0,1.0
2100204,Alcântara - MA,1997,1706.0,136.0
2100204,Alcântara - MA,1998,1555.0,109.0
2100204,Alcântara - MA,1999,1550.0,116.0
2100204,Alcântara - MA,2000,1550.0,116.0
2100204,Alcântara - MA,2001,314.0,24.0
2100204,Alcântara - MA,2002,320.0,22.0
2100204,Alcântara - MA,2003,296.0,36.0
2100204,Alcântara - MA,2004,216.0,32.0
2100204,Alcântara - MA,2005,190.0,29.0
2100204,Alcântara - MA,2006,176.0,26.0
2100204,Alcântara - MA,2007,176.0,21.0
2100204,Alcântara - MA,2008,165.0,20.0
2100204,Alcântara - MA,2011,200.0,10.0
2100204,Alcântara - MA,2012,188.0,96.0
2100204,Alcântara - MA,2013,163.0,82.0
2100204,Alcântara - MA,2014,150.0,83.0
2100204,Alcântara - MA,2015,128.0,83.0
2100204,Alcântara - MA,2016,120.0,80.0
2100204,Alcântara - MA,2017,112.0,72.0
2100204,Alcântara - MA,2018,97.0,92.0
2100204,Alcântara - MA,2019,61.0,58.0
2100204,Alcântara - MA,2020,63.0,60.0
2100204,Alcântara - MA,2021,76.0,74.0
2100204,Alcântara - MA,2022,59.0,51.0
2100204,Alcântara - MA,2023,61.0,56.0
2100204,Alcântara - MA,2024,64.0,60.0
2100303,Aldeias Altas - MA,1996,115.0,3.0
2100303,Aldeias Altas - MA,1997,116.0,3.0
2100303,Aldeias Altas - MA,1998,100.0,3.0
2100303,Aldeias Altas - MA,1999,115.0,4.0
2100303,Aldeias Altas - MA,2000,125.0,5.0
2100303,Aldeias Altas - MA,2001,25.0,3.0
2100303,Aldeias Altas - MA,2002,26.0,5.0
2100303,Aldeias Altas - MA,2003,20.0,4.0
2100303,Aldeias Altas - MA,2004,18.0,4.0
2100303,Aldeias Altas - MA,2005,12.0,3.0
2100303,Aldeias Altas - MA,2006,11.0,2.0
2100303,Aldeias Altas - MA,2007,10.0,2.0
2100303,Aldeias Altas - MA,2008,6.0,1.0
2100303,Aldeias Altas - MA,2009,5.0,1.0
2100303,Aldeias Altas - MA,2010,5.0,1.0
2100303,Aldeias Altas - MA,2011,4.0,1.0
2100303,Aldeias Altas - MA,2012,3.0,1.0
2100303,Aldeias Altas - MA,2013,2.0,1.0
2100303,Aldeias Altas - MA,2014,2.0,1.0
2100303,Aldeias Altas - MA,2015,4.0,2.0
2100402,Altamira do Maranhão - MA,1995,1323.0,26.0
2100402,Altamira do Maranhão - MA,1996,182.0,4.0
2100402,Altamira do Maranhão - MA,1997,128.0,3.0
2100402,Altamira do Maranhão - MA,1998,150.0,3.0
2100402,Altamira do Maranhão - MA,1999,150.0,3.0
2100436,Alto Alegre do Maranhão - MA,1997,447.0,40.0
2100436,Alto Alegre do Maranhão - MA,1998,385.0,6.0
2100436,Alto Alegre do Maranhão - MA,1999,350.0,7.0
2100436,Alto Alegre do Maranhão - MA,2000,400.0,8.0
2100436,Alto Alegre do Maranhão - MA,2001,60.0,5.0
