municipio_id,municipio,ano,quantidade_ton,valor_mil_reais
2100600,Amarante do Maranhão - MA,2001,24.0,3.0
2100600,Amarante do Maranhão - MA,2002,26.0,12.0
2100600,Amarante do Maranhão - MA,2003,32.0,16.0
2100600,Amarante do Maranhão - MA,2004,45.0,32.0
2100600,Amarante do Maranhão - MA,2005,41.0,31.0
2100600,Amarante do Maranhão - MA,2006,153.0,115.0
2100600,Amarante do Maranhão - MA,2007,152.0,137.0
2100600,Amarante do Maranhão - MA,2008,35.0,33.0
2100600,Amarante do Maranhão - MA,2009,18.0,13.0
2100600,Amarante do Maranhão - MA,2010,19.0,19.0
2100600,Amarante do Maranhão - MA,2011,20.0,21.0
2100600,Amarante do Maranhão - MA,2022,142.0,239.0
2100600,Amarante do Maranhão - MA,2023,68.0,190.0
2100600,Amarante do Maranhão - MA,2024,85.0,259.0
2100055,Açailândia - MA,2016,34.0,58.0
2100055,Açailândia - MA,2017,9.0,20.0
2101251,Bacabeira - MA,2008,30.0,45.0
2101608,Barra do Corda - MA,2023,22.0,78.0
2101608,Barra do Corda - MA,2024,18.0,65.0
2101806,Benedito Leite - MA,2019,25.0,43.0
2101806,Benedito Leite - MA,2020,26.0,46.0
2101806,Benedito Leite - MA,2021,6.0,11.0
2101806,Benedito Leite - MA,2022,6.0,11.0
2101806,Benedito Leite - MA,2023,7.0,14.0
2102358,Buritirana - MA,2003,28.0,14.0
2102358,Buritirana - MA,2004,33.0,20.0
2102358,Buritirana - MA,2005,20.0,10.0
2102358,Buritirana - MA,2006,18.0,13.0
2102358,Buritirana - MA,2008,19.0,23.0
2102358,Buritirana - MA,2009,18.0,14.0
2102358,Buritirana - MA,2010,12.0,12.0
2102358,Buritirana - MA,2014,21.0,28.0
2102358,Buritirana - MA,2015,56.0,74.0
2102358,Buritirana - MA,2016,160.0,160.0
2102358,Buritirana - MA,2017,72.0,107.0
2102358,Buritirana - MA,2018,91.0,128.0
2102358,Buritirana - MA,2019,69.0,99.0
2102358,Buritirana - MA,2020,50.0,86.0
2102358,Buritirana - MA,2021,19.0,37.0
2102358,Buritirana - MA,2022,13.0,38.0
2102358,Buritirana - MA,2023,27.0,66.0
2102358,Buritirana - MA,2024,42.0,112.0
2102804,Carolina - MA,2018,30.0,60.0
2102804,Carolina - MA,2019,19.0,37.0
2103257,Cidelândia - MA,2010,15.0,18.0
2103257,Cidelândia - MA,2011,8.0,10.0
2103257,Cidelândia - MA,2012,5.0,10.0
2103257,Cidelândia - MA,2013,8.0,10.0
2103257,Cidelândia - MA,2014,8.0,11.0
2103257,Cidelândia - MA,2016,9.0,12.0
2103752,Davinópolis - MA,2014,8.0,12.0
2103752,Davinópolis - MA,2015,7.0,14.0
2103752,Davinópolis - MA,2016,7.0,9.0
2104552,Governador Edison Lobão - MA,2001,11.0,1.0
2104552,Governador Edison Lobão - MA,2009,18.0,18.0
2104552,Governador Edison Lobão - MA,2010,2.0,3.0
2104552,Governador Edison Lobão - MA,2011,174.0,313.0
2104552,Governador Edison Lobão - MA,2012,12.0,22.0
2104552,Governador Edison Lobão - MA,2013,12.0,23.0
2104552,Governador Edison Lobão - MA,2014,11.0,22.0
2104552,Governador Edison Lobão - MA,2018,39.0,62.0
2104800,Grajaú - MA,2023,9.0,42.0
2104800,Grajaú - MA,2024,7.0,25.0
2105302,Imperatriz - MA,1996,383.0,11.0
2105302,Imperatriz - MA,1997,288.0,23.0
2105302,Imperatriz - MA,1998,432.0,36.0
2105302,Imperatriz - MA,1999,384.0,19.0
2105302,Imperatriz - MA,2000,360.0,20.0
2105302,Imperatriz - MA,2001,6.0,1.0
2105302,Imperatriz - MA,2002,6.0,1.0
2105302,Imperatriz - MA,2003,26.0,12.0
