municipio_id,municipio,ano,quantidade_kg,valor_mil_reais
2100204,Alcântara - MA,2001,459.0,4.0
2100204,Alcântara - MA,2002,460.0,4.0
2100204,Alcântara - MA,2003,390.0,3.0
2100204,Alcântara - MA,2004,420.0,3.0
2100204,Alcântara - MA,2005,1200.0,12.0
2100204,Alcântara - MA,2006,1250.0,10.0
2100204,Alcântara - MA,2007,1275.0,10.0
2100204,Alcântara - MA,2008,1210.0,10.0
2100204,Alcântara - MA,2009,1228.0,11.0
2100204,Alcântara - MA,2010,1120.0,11.0
2100204,Alcântara - MA,2011,1150.0,12.0
2100204,Alcântara - MA,2012,1165.0,13.0
2100204,Alcântara - MA,2013,970.0,15.0
2100204,Alcântara - MA,2014,1020.0,17.0
2100204,Alcântara - MA,2015,910.0,17.0
2100204,Alcântara - MA,2016,740.0,13.0
2100204,Alcântara - MA,2017,751.0,14.0
2100204,Alcântara - MA,2018,762.0,14.0
2100204,Alcântara - MA,2019,777.0,14.0
2100204,Alcântara - MA,2020,792.0,15.0
2100204,Alcântara - MA,2021,808.0,15.0
2100204,Alcântara - MA,2022,824.0,16.0
2100204,Alcântara - MA,2023,845.0,19.0
2100204,Alcântara - MA,2024,870.0,23.0
2100550,Amapá do Maranhão - MA,2002,250.0,1.0
2100550,Amapá do Maranhão - MA,2003,1530.0,6.0
2100550,Amapá do Maranhão - MA,2004,1680.0,6.0
2100550,Amapá do Maranhão - MA,2005,1852.0,4.0
2100550,Amapá do Maranhão - MA,2006,1567.0,6.0
2100550,Amapá do Maranhão - MA,2007,1723.0,5.0
2100550,Amapá do Maranhão - MA,2008,12467.0,32.0
2100550,Amapá do Maranhão - MA,2009,11844.0,65.0
2100550,Amapá do Maranhão - MA,2010,13527.0,60.0
2100550,Amapá do Maranhão - MA,2011,13875.0,69.0
2100550,Amapá do Maranhão - MA,2012,13875.0,67.0
2100550,Amapá do Maranhão - MA,2013,14145.0,92.0
2100550,Amapá do Maranhão - MA,2014,13600.0,88.0
2100550,Amapá do Maranhão - MA,2015,8160.0,69.0
2100550,Amapá do Maranhão - MA,2016,81257.0,772.0
2100550,Amapá do Maranhão - MA,2017,73439.0,734.0
2100550,Amapá do Maranhão - MA,2018,74325.0,520.0
2100550,Amapá do Maranhão - MA,2019,78205.0,571.0
2100550,Amapá do Maranhão - MA,2020,83278.0,666.0
2100550,Amapá do Maranhão - MA,2021,85613.0,1284.0
2100550,Amapá do Maranhão - MA,2022,89854.0,1258.0
2100550,Amapá do Maranhão - MA,2023,85600.0,1113.0
2100550,Amapá do Maranhão - MA,2024,68908.0,827.0
2100600,Amarante do Maranhão - MA,2006,2750.0,23.0
2100600,Amarante do Maranhão - MA,2020,140.0,3.0
2100600,Amarante do Maranhão - MA,2021,145.0,3.0
2100709,Anajatuba - MA,2020,34000.0,476.0
2100709,Anajatuba - MA,2021,34022.0,483.0
2100709,Anajatuba - MA,2022,34036.0,485.0
2100709,Anajatuba - MA,2023,34046.0,487.0
2100709,Anajatuba - MA,2024,34088.0,489.0
2100873,Araguanã - MA,1997,4000.0,12.0
2100873,Araguanã - MA,1998,4500.0,36.0
2100873,Araguanã - MA,1999,4420.0,15.0
2100873,Araguanã - MA,2000,3128.0,8.0
2100873,Araguanã - MA,2001,3000.0,15.0
2100873,Araguanã - MA,2002,3200.0,13.0
2100873,Araguanã - MA,2003,2910.0,14.0
2100873,Araguanã - MA,2004,3000.0,11.0
2100873,Araguanã - MA,2005,3150.0,8.0
2100873,Araguanã - MA,2006,2993.0,8.0
2100873,Araguanã - MA,2007,2394.0,5.0
2100873,Araguanã - MA,2008,2154.0,6.0
2100873,Araguanã - MA,2009,2219.0,12.0
2100873,Araguanã - MA,2010,2100.0,11.0
2100873,Araguanã - MA,2011,2400.0,12.0
2100873,Araguanã - MA,2012,2160.0,26.0
2100873,Araguanã - MA,2013,2398.0,36.0
2100873,Araguanã - MA,2014,2493.0,42.0
2100873,Araguanã - MA,2015,2168.0,34.0
2100873,Araguanã - MA,2016,2273.0,34.0
2100873,Araguanã - MA,2017,2315.0,36.0
2100873,Araguanã - MA,2018,2355.0,40.0
2100873,Araguanã - MA,2019,2265.0,38.0
2100873,Araguanã - MA,2020,2198.0,40.0
2100873,Araguanã - MA,2021,2100.0,48.0
2100873,Araguanã - MA,2022,1985.0,52.0
2100873,Araguanã - MA,2023,2182.0,19.0
2100873,Araguanã - MA,2024,2365.0,24.0
2100956,Arame - MA,2022,104.0,12.0
2100956,Arame - MA,2023,22.0,2.0
2100956,Arame - MA,2024,42.0,4.0
2101004,Arari - MA,1995,208.0,0.0
2101004,Arari - MA,1996,213.0,1.0
2101004,Arari - MA,1997,716.0,4.0
2101004,Arari - MA,1998,205.0,2.0
2101004,Arari - MA,1999,204.0,2.0
2101004,Arari - MA,2000,456.0,4.0
2101004,Arari - MA,2001,459.0,4.0
2101004,Arari - MA,2002,463.0,4.0
2101004,Arari - MA,2003,496.0,3.0
2101004,Arari - MA,2004,541.0,3.0
2101004,Arari - MA,2005,584.0,1.0
2101004,Arari - MA,2016,10000.0,150.0
2101004,Arari - MA,2017,12500.0,188.0
2101004,Arari - MA,2018,11800.0,165.0
2101004,Arari - MA,2019,10100.0,121.0
2101004,Arari - MA,2020,8900.0,125.0
2101004,Arari - MA,2021,8200.0,123.0
2101004,Arari - MA,2022,9800.0,127.0
2101004,Arari - MA,2023,21750.0,174.0
2101004,Arari - MA,2024,24500.0,319.0
2100055,Açailândia - MA,2005,960.0,7.0
2100055,Açailândia - MA,2006,925.0,7.0
2100055,Açailândia - MA,2007,1292.0,16.0
2100055,Açailândia - MA,2008,1433.0,13.0
2100055,Açailândia - MA,2009,2084.0,21.0
2100055,Açailândia - MA,2010,2086.0,23.0
2100055,Açailândia - MA,2011,1747.0,19.0
2100055,Açailândia - MA,2012,4843.0,73.0
2100055,Açailândia - MA,2013,5882.0,103.0
2100055,Açailândia - MA,2014,8921.0,205.0
2100055,Açailândia - MA,2015,6806.0,252.0
2100055,Açailândia - MA,2016,4267.0,81.0
2100055,Açailândia - MA,2017,3857.0,96.0
2100055,Açailândia - MA,2018,3628.0,98.0
2100055,Açailândia - MA,2019,4435.0,118.0
2100055,Açailândia - MA,2020,5030.0,138.0
2100055,Açailândia - MA,2021,6277.0,182.0
2100055,Açailândia - MA,2022,6530.0,229.0
2100055,Açailândia - MA,2023,11586.0,434.0
2100055,Açailândia - MA,2024,13875.0,527.0
2101251,Bacabeira - MA,2005,2400.0,17.0
2101251,Bacabeira - MA,2006,1800.0,13.0
2101251,Bacabeira - MA,2007,1780.0,12.0
2101251,Bacabeira - MA,2008,1600.0,14.0
2101251,Bacabeira - MA,2009,1600.0,14.0
2101251,Bacabeira - MA,2010,1690.0,19.0
2101251,Bacabeira - MA,2011,1750.0,21.0
2101251,Bacabeira - MA,2012,1790.0,24.0
2101251,Bacabeira - MA,2013,1820.0,25.0
2101251,Bacabeira - MA,2014,1943.0,27.0
2101251,Bacabeira - MA,2015,1981.0,32.0
2101251,Bacabeira - MA,2016,14380.0,173.0
2101251,Bacabeira - MA,2017,14510.0,218.0
2101251,Bacabeira - MA,2018,17412.0,113.0
2101251,Bacabeira - MA,2019,18238.0,128.0
2101251,Bacabeira - MA,2020,17245.0,125.0
2101251,Bacabeira - MA,2021,16930.0,125.0
2101251,Bacabeira - MA,2022,18230.0,142.0
2101251,Bacabeira - MA,2023,20150.0,186.0
2101251,Bacabeira - MA,2024,23290.0,419.0
2101350,Bacurituba - MA,2010,2000.0,20.0
2101350,Bacurituba - MA,2011,2020.0,30.0
2101350,Bacurituba - MA,2012,2040.0,41.0
2101350,Bacurituba - MA,2013,2070.0,41.0
2101350,Bacurituba - MA,2014,2084.0,40.0
2101350,Bacurituba - MA,2015,2115.0,32.0
2101350,Bacurituba - MA,2016,2126.0,34.0
2101350,Bacurituba - MA,2017,2137.0,38.0
2101350,Bacurituba - MA,2018,2132.0,39.0
2101350,Bacurituba - MA,2019,2123.0,40.0
2101350,Bacurituba - MA,2020,2119.0,40.0
2101350,Bacurituba - MA,2021,2130.0,41.0
2101350,Bacurituba - MA,2022,2141.0,49.0
2101350,Bacurituba - MA,2023,2162.0,54.0
2101350,Bacurituba - MA,2024,2180.0,58.0
2101608,Barra do Corda - MA,1997,2143.0,9.0
2101608,Barra do Corda - MA,1998,2162.0,9.0
2101608,Barra do Corda - MA,1999,2216.0,10.0
2101608,Barra do Corda - MA,2000,2238.0,10.0
2101608,Barra do Corda - MA,2001,2250.0,8.0
2101608,Barra do Corda - MA,2002,2150.0,12.0
2101608,Barra do Corda - MA,2003,1527.0,9.0
2101608,Barra do Corda - MA,2004,1665.0,15.0
2101608,Barra do Corda - MA,2005,1705.0,16.0
2101608,Barra do Corda - MA,2006,1761.0,18.0
2101608,Barra do Corda - MA,2007,1826.0,18.0
2101608,Barra do Corda - MA,2008,1894.0,23.0
2101608,Barra do Corda - MA,2009,1953.0,29.0
2101608,Barra do Corda - MA,2010,70.0,1.0
2101608,Barra do Corda - MA,2011,73.0,1.0
2101608,Barra do Corda - MA,2012,77.0,1.0
2101608,Barra do Corda - MA,2013,83.0,1.0
2101608,Barra do Corda - MA,2014,90.0,2.0
2101608,Barra do Corda - MA,2015,100.0,2.0
2101608,Barra do Corda - MA,2016,90.0,2.0
2101608,Barra do Corda - MA,2017,95.0,2.0
2101608,Barra do Corda - MA,2018,105.0,2.0
2101608,Barra do Corda - MA,2019,111.0,2.0
2101608,Barra do Corda - MA,2020,103.0,2.0
2101608,Barra do Corda - MA,2021,100.0,2.0
2101608,Barra do Corda - MA,2023,1876.0,77.0
2101608,Barra do Corda - MA,2024,880.0,40.0
2101731,Belágua - MA,2008,300.0,5.0
2101731,Belágua - MA,2009,350.0,6.0
2101731,Belágua - MA,2010,450.0,8.0
2101731,Belágua - MA,2011,480.0,12.0
2101731,Belágua - MA,2012,500.0,9.0
2101731,Belágua - MA,2013,250.0,6.0
2101731,Belágua - MA,2014,255.0,5.0
2101731,Belágua - MA,2015,260.0,5.0
2101731,Belágua - MA,2016,226.0,4.0
2101905,Bequimão - MA,2010,1000.0,10.0
2101905,Bequimão - MA,2011,1030.0,15.0
2101905,Bequimão - MA,2012,1051.0,19.0
2101905,Bequimão - MA,2013,1073.0,21.0
2101905,Bequimão - MA,2014,1089.0,23.0
2101905,Bequimão - MA,2015,1111.0,19.0
2101905,Bequimão - MA,2016,1122.0,20.0
2101905,Bequimão - MA,2017,1133.0,21.0
2101905,Bequimão - MA,2018,1156.0,20.0
2101905,Bequimão - MA,2019,1163.0,20.0
2101905,Bequimão - MA,2020,1171.0,20.0
2101905,Bequimão - MA,2021,1183.0,22.0
2101905,Bequimão - MA,2022,1195.0,30.0
2101905,Bequimão - MA,2023,1207.0,31.0
2101905,Bequimão - MA,2024,1219.0,32.0
2101970,Boa Vista do Gurupi - MA,2002,550.0,2.0
2101970,Boa Vista do Gurupi - MA,2003,345.0,2.0
2101970,Boa Vista do Gurupi - MA,2004,1050.0,4.0
2101970,Boa Vista do Gurupi - MA,2005,2476.0,6.0
2101970,Boa Vista do Gurupi - MA,2006,2556.0,9.0
2101970,Boa Vista do Gurupi - MA,2007,3195.0,8.0
2101970,Boa Vista do Gurupi - MA,2010,14150.0,57.0
2101970,Boa Vista do Gurupi - MA,2011,14603.0,70.0
2101970,Boa Vista do Gurupi - MA,2012,13305.0,62.0
2101970,Boa Vista do Gurupi - MA,2013,13634.0,71.0
2101970,Boa Vista do Gurupi - MA,2014,13750.0,76.0
2101970,Boa Vista do Gurupi - MA,2015,13867.0,111.0
2101970,Boa Vista do Gurupi - MA,2016,16612.0,150.0
2101970,Boa Vista do Gurupi - MA,2017,16955.0,170.0
2101970,Boa Vista do Gurupi - MA,2018,35900.0,323.0
2101970,Boa Vista do Gurupi - MA,2019,36500.0,310.0
2101970,Boa Vista do Gurupi - MA,2020,37380.0,299.0
2101970,Boa Vista do Gurupi - MA,2021,41742.0,626.0
2101970,Boa Vista do Gurupi - MA,2022,44246.0,619.0
2101970,Boa Vista do Gurupi - MA,2023,41200.0,515.0
2101970,Boa Vista do Gurupi - MA,2024,38526.0,501.0
2102200,Buriti - MA,1999,570.0,2.0
2102200,Buriti - MA,2000,609.0,2.0
2102200,Buriti - MA,2001,720.0,4.0
2102200,Buriti - MA,2002,610.0,3.0
2102200,Buriti - MA,2003,800.0,8.0
2102200,Buriti - MA,2004,950.0,11.0
2102200,Buriti - MA,2005,800.0,12.0
2102200,Buriti - MA,2006,750.0,11.0
2102309,Buriti Bravo - MA,2017,2980.0,34.0
2102309,Buriti Bravo - MA,2018,4860.0,58.0
2102309,Buriti Bravo - MA,2019,4617.0,55.0
2102309,Buriti Bravo - MA,2020,4455.0,56.0
2102309,Buriti Bravo - MA,2021,6000.0,90.0
2102309,Buriti Bravo - MA,2022,5460.0,87.0
2102309,Buriti Bravo - MA,2023,4960.0,99.0
2102309,Buriti Bravo - MA,2024,4464.0,112.0
2102358,Buritirana - MA,2011,180.0,2.0
2102358,Buritirana - MA,2012,150.0,2.0
2102358,Buritirana - MA,2013,150.0,3.0
2102358,Buritirana - MA,2014,120.0,2.0
2102358,Buritirana - MA,2015,90.0,1.0
2102358,Buritirana - MA,2016,14.0,0.0
2102358,Buritirana - MA,2017,150.0,5.0
2102358,Buritirana - MA,2018,90.0,3.0
2102358,Buritirana - MA,2019,75.0,2.0
2102358,Buritirana - MA,2020,165.0,5.0
2102358,Buritirana - MA,2021,1248.0,35.0
2102358,Buritirana - MA,2022,1011.0,34.0
2102358,Buritirana - MA,2023,2335.0,82.0
2102358,Buritirana - MA,2024,2112.0,63.0
2102408,Cajapió - MA,1995,335.0,1.0
2102408,Cajapió - MA,1996,346.0,1.0
2102408,Cajapió - MA,2016,675.0,7.0
2102408,Cajapió - MA,2017,750.0,7.0
2102408,Cajapió - MA,2018,1320.0,11.0
2102408,Cajapió - MA,2019,1420.0,13.0
2102408,Cajapió - MA,2020,1500.0,15.0
2102408,Cajapió - MA,2021,1750.0,26.0
2102408,Cajapió - MA,2022,1820.0,25.0
2102408,Cajapió - MA,2023,1920.0,23.0
2102408,Cajapió - MA,2024,1580.0,21.0
2102556,Campestre do Maranhão - MA,2010,975.0,9.0
2102556,Campestre do Maranhão - MA,2011,119.0,1.0
2102556,Campestre do Maranhão - MA,2012,124.0,1.0
2102556,Campestre do Maranhão - MA,2013,96.0,1.0
2102556,Campestre do Maranhão - MA,2014,75.0,1.0
2102804,Carolina - MA,2014,567.0,11.0
2102804,Carolina - MA,2015,510.0,8.0
2102804,Carolina - MA,2016,490.0,8.0
2102804,Carolina - MA,2017,475.0,9.0
2102804,Carolina - MA,2018,2560.0,77.0
2102804,Carolina - MA,2019,2400.0,65.0
2102804,Carolina - MA,2020,2350.0,64.0
2102804,Carolina - MA,2021,2585.0,75.0
2102804,Carolina - MA,2022,2875.0,101.0
2102804,Carolina - MA,2023,2932.0,132.0
2102804,Carolina - MA,2024,2950.0,139.0
2102903,Carutapera - MA,2002,1800.0,7.0
2102903,Carutapera - MA,2003,1812.0,8.0
2102903,Carutapera - MA,2004,3500.0,13.0
2102903,Carutapera - MA,2005,3605.0,10.0
2102903,Carutapera - MA,2006,3915.0,16.0
2102903,Carutapera - MA,2007,4000.0,11.0
2102903,Carutapera - MA,2008,1440.0,5.0
2102903,Carutapera - MA,2009,1368.0,8.0
2102903,Carutapera - MA,2010,1496.0,7.0
2102903,Carutapera - MA,2011,1514.0,7.0
2102903,Carutapera - MA,2012,1471.0,8.0
2102903,Carutapera - MA,2013,1522.0,8.0
2102903,Carutapera - MA,2014,1541.0,11.0
2102903,Carutapera - MA,2015,1538.0,12.0
2102903,Carutapera - MA,2016,1691.0,15.0
2102903,Carutapera - MA,2017,1835.0,17.0
2102903,Carutapera - MA,2018,1862.0,17.0
2102903,Carutapera - MA,2019,2220.0,19.0
2102903,Carutapera - MA,2020,2350.0,21.0
2102903,Carutapera - MA,2021,2537.0,41.0
2102903,Carutapera - MA,2022,2739.0,47.0
2102903,Carutapera - MA,2023,2950.0,35.0
2102903,Carutapera - MA,2024,3210.0,40.0
2103174,Centro Novo do Maranhão - MA,2002,270.0,1.0
2103174,Centro Novo do Maranhão - MA,2003,1108.0,5.0
2103174,Centro Novo do Maranhão - MA,2004,1500.0,5.0
2103174,Centro Novo do Maranhão - MA,2005,2300.0,6.0
2103174,Centro Novo do Maranhão - MA,2006,2185.0,8.0
2103174,Centro Novo do Maranhão - MA,2007,2300.0,7.0
2103174,Centro Novo do Maranhão - MA,2008,3000.0,8.0
2103174,Centro Novo do Maranhão - MA,2009,2850.0,14.0
2103174,Centro Novo do Maranhão - MA,2010,6270.0,38.0
2103174,Centro Novo do Maranhão - MA,2011,6446.0,42.0
2103174,Centro Novo do Maranhão - MA,2012,5938.0,32.0
2103174,Centro Novo do Maranhão - MA,2013,5925.0,33.0
2103174,Centro Novo do Maranhão - MA,2014,6280.0,38.0
2103174,Centro Novo do Maranhão - MA,2015,17425.0,148.0
2103174,Centro Novo do Maranhão - MA,2016,38370.0,345.0
2103174,Centro Novo do Maranhão - MA,2017,40237.0,402.0
2103174,Centro Novo do Maranhão - MA,2018,56331.0,479.0
2103174,Centro Novo do Maranhão - MA,2019,58350.0,502.0
2103174,Centro Novo do Maranhão - MA,2020,65780.0,592.0
2103174,Centro Novo do Maranhão - MA,2021,72135.0,1176.0
2103174,Centro Novo do Maranhão - MA,2022,78987.0,1185.0
2103174,Centro Novo do Maranhão - MA,2023,73200.0,893.0
2103174,Centro Novo do Maranhão - MA,2024,86450.0,1124.0
2103158,Centro do Guilherme - MA,2003,386.0,2.0
2103158,Centro do Guilherme - MA,2004,1250.0,4.0
2103158,Centro do Guilherme - MA,2005,2000.0,5.0
2103158,Centro do Guilherme - MA,2006,1903.0,6.0
2103158,Centro do Guilherme - MA,2007,2000.0,5.0
2103158,Centro do Guilherme - MA,2008,3190.0,10.0
2103158,Centro do Guilherme - MA,2009,3031.0,15.0
2103158,Centro do Guilherme - MA,2010,3320.0,15.0
2103158,Centro do Guilherme - MA,2011,3426.0,17.0
2103158,Centro do Guilherme - MA,2012,3360.0,18.0
2103158,Centro do Guilherme - MA,2013,3454.0,19.0
2103158,Centro do Guilherme - MA,2014,3485.0,23.0
2103158,Centro do Guilherme - MA,2015,4142.0,33.0
2103158,Centro do Guilherme - MA,2016,4597.0,45.0
2103158,Centro do Guilherme - MA,2017,5133.0,51.0
2103158,Centro do Guilherme - MA,2018,5489.0,47.0
2103158,Centro do Guilherme - MA,2019,6523.0,49.0
2103158,Centro do Guilherme - MA,2020,7000.0,56.0
2103158,Centro do Guilherme - MA,2021,12524.0,163.0
2103158,Centro do Guilherme - MA,2022,26632.0,320.0
2103158,Centro do Guilherme - MA,2023,27630.0,329.0
2103158,Centro do Guilherme - MA,2024,25350.0,317.0
2103257,Cidelândia - MA,2005,900.0,9.0
2103257,Cidelândia - MA,2006,500.0,5.0
2103257,Cidelândia - MA,2007,315.0,5.0
2103257,Cidelândia - MA,2008,825.0,8.0
2103257,Cidelândia - MA,2009,815.0,9.0
2103257,Cidelândia - MA,2010,429.0,6.0
2103257,Cidelândia - MA,2011,436.0,7.0
2103257,Cidelândia - MA,2012,697.0,13.0
2103257,Cidelândia - MA,2013,540.0,8.0
2103257,Cidelândia - MA,2014,395.0,9.0
2103257,Cidelândia - MA,2015,630.0,13.0
2103257,Cidelândia - MA,2016,221.0,5.0
2103257,Cidelândia - MA,2017,384.0,10.0
2103257,Cidelândia - MA,2018,333.0,8.0
2103257,Cidelândia - MA,2019,1270.0,24.0
2103257,Cidelândia - MA,2020,504.0,11.0
2103257,Cidelândia - MA,2021,390.0,10.0
2103257,Cidelândia - MA,2022,319.0,11.0
2103257,Cidelândia - MA,2023,285.0,11.0
2103257,Cidelândia - MA,2024,310.0,12.0
2103505,Colinas - MA,2011,2000.0,24.0
2103505,Colinas - MA,2012,550.0,10.0
2103505,Colinas - MA,2013,1550.0,19.0
2103505,Colinas - MA,2014,1800.0,22.0
2103505,Colinas - MA,2015,2019.0,27.0
2103505,Colinas - MA,2016,2201.0,31.0
2103505,Colinas - MA,2017,2100.0,25.0
2103505,Colinas - MA,2018,1750.0,22.0
2103505,Colinas - MA,2019,1652.0,20.0
2103505,Colinas - MA,2020,1587.0,20.0
2103505,Colinas - MA,2021,1456.0,18.0
2103505,Colinas - MA,2022,1245.0,19.0
