municipio_id,municipio,ano,area_plantada_ha,quantidade_ton,valor_mil_reais,area_colhida_ha
2100105,Afonso Cunha - MA,1995,329.0,119.0,11.0,329.0
2100105,Afonso Cunha - MA,1996,121.0,96.0,18.0,121.0
2100105,Afonso Cunha - MA,1997,118.0,93.0,18.0,118.0
2100105,Afonso Cunha - MA,1998,140.0,21.0,4.0,140.0
2100105,Afonso Cunha - MA,1999,168.0,100.0,21.0,168.0
2100105,Afonso Cunha - MA,2000,434.0,260.0,50.0,434.0
2100105,Afonso Cunha - MA,2001,465.0,279.0,61.0,465.0
2100105,Afonso Cunha - MA,2002,495.0,187.0,58.0,495.0
2100105,Afonso Cunha - MA,2003,524.0,316.0,120.0,524.0
2100105,Afonso Cunha - MA,2004,537.0,322.0,148.0,537.0
2100105,Afonso Cunha - MA,2005,565.0,230.0,44.0,480.0
2100105,Afonso Cunha - MA,2006,510.0,306.0,64.0,510.0
2100105,Afonso Cunha - MA,2007,535.0,321.0,67.0,535.0
2100105,Afonso Cunha - MA,2008,492.0,300.0,86.0,492.0
2100105,Afonso Cunha - MA,2009,622.0,529.0,212.0,560.0
2100105,Afonso Cunha - MA,2010,553.0,297.0,59.0,277.0
2100105,Afonso Cunha - MA,2011,508.0,544.0,381.0,508.0
2100105,Afonso Cunha - MA,2012,456.0,200.0,146.0,456.0
2100105,Afonso Cunha - MA,2013,384.0,138.0,97.0,384.0
2100105,Afonso Cunha - MA,2014,340.0,204.0,143.0,340.0
2100105,Afonso Cunha - MA,2015,310.0,155.0,102.0,310.0
2100105,Afonso Cunha - MA,2016,290.0,145.0,91.0,290.0
2100105,Afonso Cunha - MA,2017,280.0,145.0,52.0,280.0
2100105,Afonso Cunha - MA,2018,275.0,138.0,91.0,275.0
2100105,Afonso Cunha - MA,2019,170.0,94.0,80.0,170.0
2100105,Afonso Cunha - MA,2020,880.0,3870.0,3483.0,880.0
2100105,Afonso Cunha - MA,2021,170.0,85.0,88.0,170.0
2100105,Afonso Cunha - MA,2022,160.0,96.0,91.0,160.0
2100105,Afonso Cunha - MA,2023,155.0,93.0,116.0,155.0
2100105,Afonso Cunha - MA,2024,150.0,90.0,72.0,150.0
2100204,Alcântara - MA,1995,430.0,215.0,51.0,430.0
2100204,Alcântara - MA,1996,123.0,123.0,34.0,123.0
2100204,Alcântara - MA,1997,124.0,124.0,26.0,124.0
2100204,Alcântara - MA,1998,125.0,125.0,41.0,125.0
2100204,Alcântara - MA,1999,123.0,129.0,39.0,123.0
2100204,Alcântara - MA,2000,127.0,132.0,38.0,127.0
2100204,Alcântara - MA,2001,120.0,123.0,35.0,120.0
2100204,Alcântara - MA,2002,125.0,131.0,39.0,125.0
2100204,Alcântara - MA,2003,130.0,117.0,35.0,130.0
2100204,Alcântara - MA,2004,140.0,126.0,57.0,140.0
2100204,Alcântara - MA,2005,135.0,122.0,61.0,135.0
2100204,Alcântara - MA,2006,148.0,133.0,56.0,148.0
2100204,Alcântara - MA,2007,158.0,174.0,104.0,158.0
2100204,Alcântara - MA,2008,158.0,174.0,61.0,158.0
2100204,Alcântara - MA,2009,163.0,156.0,78.0,163.0
2100204,Alcântara - MA,2010,168.0,202.0,101.0,168.0
2100204,Alcântara - MA,2011,159.0,175.0,93.0,159.0
2100204,Alcântara - MA,2012,160.0,176.0,97.0,160.0
2100204,Alcântara - MA,2013,130.0,52.0,31.0,130.0
2100204,Alcântara - MA,2014,132.0,118.0,79.0,132.0
2100204,Alcântara - MA,2015,137.0,86.0,59.0,137.0
2100204,Alcântara - MA,2016,130.0,117.0,84.0,130.0
2100204,Alcântara - MA,2017,120.0,102.0,54.0,120.0
2100204,Alcântara - MA,2018,130.0,111.0,60.0,130.0
2100204,Alcântara - MA,2019,133.0,118.0,65.0,133.0
2100204,Alcântara - MA,2020,113.0,116.0,64.0,113.0
2100204,Alcântara - MA,2021,119.0,110.0,69.0,119.0
2100204,Alcântara - MA,2022,110.0,99.0,65.0,110.0
2100204,Alcântara - MA,2023,111.0,100.0,87.0,111.0
2100204,Alcântara - MA,2024,111.0,101.0,68.0,111.0
2100303,Aldeias Altas - MA,1995,1142.0,400.0,39.0,1142.0
2100303,Aldeias Altas - MA,1996,1493.0,741.0,142.0,1493.0
2100303,Aldeias Altas - MA,1997,1458.0,714.0,139.0,1458.0
2100303,Aldeias Altas - MA,1998,1300.0,312.0,61.0,1300.0
2100303,Aldeias Altas - MA,1999,1638.0,983.0,205.0,1638.0
2100303,Aldeias Altas - MA,2000,1720.0,1032.0,206.0,1720.0
2100303,Aldeias Altas - MA,2001,1800.0,1080.0,238.0,1800.0
2100303,Aldeias Altas - MA,2002,1860.0,837.0,251.0,1860.0
2100303,Aldeias Altas - MA,2003,1907.0,1144.0,389.0,1907.0
2100303,Aldeias Altas - MA,2004,1920.0,1152.0,484.0,1920.0
2100303,Aldeias Altas - MA,2005,2016.0,874.0,166.0,1714.0
2100303,Aldeias Altas - MA,2006,2218.0,1331.0,274.0,2218.0
2100303,Aldeias Altas - MA,2007,2329.0,1397.0,313.0,2329.0
2100303,Aldeias Altas - MA,2008,2166.0,1321.0,370.0,2166.0
2100303,Aldeias Altas - MA,2009,2252.0,1131.0,452.0,2027.0
2100303,Aldeias Altas - MA,2010,1921.0,1153.0,230.0,960.0
2100303,Aldeias Altas - MA,2011,1767.0,1060.0,636.0,1767.0
2100303,Aldeias Altas - MA,2012,1644.0,690.0,483.0,1644.0
2100303,Aldeias Altas - MA,2013,1480.0,710.0,529.0,1480.0
2100303,Aldeias Altas - MA,2014,1250.0,750.0,563.0,1250.0
2100303,Aldeias Altas - MA,2015,1120.0,560.0,420.0,1120.0
2100303,Aldeias Altas - MA,2016,1010.0,505.0,328.0,1010.0
2100303,Aldeias Altas - MA,2017,980.0,490.0,195.0,980.0
2100303,Aldeias Altas - MA,2018,890.0,521.0,281.0,890.0
2100303,Aldeias Altas - MA,2019,790.0,411.0,329.0,790.0
2100303,Aldeias Altas - MA,2020,800.0,400.0,300.0,800.0
2100303,Aldeias Altas - MA,2021,770.0,424.0,403.0,770.0
2100303,Aldeias Altas - MA,2022,760.0,456.0,447.0,760.0
2100303,Aldeias Altas - MA,2023,710.0,426.0,554.0,710.0
2100303,Aldeias Altas - MA,2024,1000.0,1620.0,778.0,1000.0
2100402,Altamira do Maranhão - MA,1995,11151.0,5576.0,795.0,11151.0
2100402,Altamira do Maranhão - MA,1996,3086.0,1371.0,206.0,3086.0
2100402,Altamira do Maranhão - MA,1997,428.0,185.0,24.0,428.0
2100402,Altamira do Maranhão - MA,1998,1197.0,479.0,75.0,1197.0
2100402,Altamira do Maranhão - MA,1999,410.0,164.0,26.0,410.0
2100402,Altamira do Maranhão - MA,2000,460.0,221.0,38.0,460.0
2100402,Altamira do Maranhão - MA,2001,655.0,278.0,62.0,655.0
2100402,Altamira do Maranhão - MA,2002,910.0,600.0,145.0,910.0
2100402,Altamira do Maranhão - MA,2003,1246.0,1136.0,454.0,1246.0
2100402,Altamira do Maranhão - MA,2004,1250.0,1125.0,563.0,1250.0
2100402,Altamira do Maranhão - MA,2005,1187.0,961.0,320.0,1187.0
2100402,Altamira do Maranhão - MA,2006,783.0,961.0,322.0,783.0
2100402,Altamira do Maranhão - MA,2007,806.0,991.0,347.0,806.0
2100402,Altamira do Maranhão - MA,2008,798.0,1231.0,431.0,798.0
2100402,Altamira do Maranhão - MA,2009,822.0,986.0,345.0,822.0
2100402,Altamira do Maranhão - MA,2010,800.0,778.0,404.0,800.0
2100402,Altamira do Maranhão - MA,2011,790.0,948.0,664.0,790.0
2100402,Altamira do Maranhão - MA,2012,800.0,960.0,634.0,800.0
