municipio_id,municipio,ano,quantidade_mil_duzias,valor_mil_reais
2100105,Afonso Cunha - MA,1995,12.0,10.0
2100105,Afonso Cunha - MA,1996,7.0,7.0
2100105,Afonso Cunha - MA,1997,7.0,7.0
2100105,Afonso Cunha - MA,1998,8.0,10.0
2100105,Afonso Cunha - MA,1999,8.0,10.0
2100105,Afonso Cunha - MA,2000,8.0,9.0
2100105,Afonso Cunha - MA,2001,8.0,11.0
2100105,Afonso Cunha - MA,2002,9.0,15.0
2100105,Afonso Cunha - MA,2003,9.0,18.0
2100105,Afonso Cunha - MA,2004,8.0,18.0
2100105,Afonso Cunha - MA,2005,8.0,18.0
2100105,Afonso Cunha - MA,2006,8.0,19.0
2100105,Afonso Cunha - MA,2007,6.0,16.0
2100105,Afonso Cunha - MA,2008,5.0,15.0
2100105,Afonso Cunha - MA,2009,5.0,14.0
2100105,Afonso Cunha - MA,2010,4.0,13.0
2100105,Afonso Cunha - MA,2011,4.0,12.0
2100105,Afonso Cunha - MA,2012,4.0,12.0
2100105,Afonso Cunha - MA,2013,3.0,10.0
2100105,Afonso Cunha - MA,2014,3.0,10.0
2100105,Afonso Cunha - MA,2015,3.0,12.0
2100105,Afonso Cunha - MA,2016,4.0,15.0
2100105,Afonso Cunha - MA,2017,4.0,15.0
2100105,Afonso Cunha - MA,2018,4.0,16.0
2100105,Afonso Cunha - MA,2019,4.0,16.0
2100105,Afonso Cunha - MA,2020,4.0,16.0
2100105,Afonso Cunha - MA,2021,3.0,17.0
2100105,Afonso Cunha - MA,2022,3.0,22.0
2100105,Afonso Cunha - MA,2023,3.0,26.0
2100105,Afonso Cunha - MA,2024,4.0,38.0
2100204,Alcântara - MA,1995,87.0,56.0
2100204,Alcântara - MA,1996,115.0,98.0
2100204,Alcântara - MA,1997,105.0,84.0
2100204,Alcântara - MA,1998,118.0,100.0
2100204,Alcântara - MA,1999,118.0,94.0
2100204,Alcântara - MA,2000,118.0,141.0
2100204,Alcântara - MA,2001,124.0,152.0
2100204,Alcântara - MA,2002,137.0,274.0
2100204,Alcântara - MA,2003,111.0,221.0
2100204,Alcântara - MA,2004,110.0,275.0
2100204,Alcântara - MA,2005,102.0,254.0
2100204,Alcântara - MA,2006,104.0,259.0
2100204,Alcântara - MA,2007,106.0,264.0
2100204,Alcântara - MA,2008,100.0,251.0
2100204,Alcântara - MA,2009,90.0,270.0
2100204,Alcântara - MA,2010,15.0,45.0
2100204,Alcântara - MA,2011,16.0,47.0
2100204,Alcântara - MA,2012,16.0,56.0
2100204,Alcântara - MA,2013,17.0,58.0
2100204,Alcântara - MA,2014,17.0,64.0
2100204,Alcântara - MA,2015,14.0,66.0
2100204,Alcântara - MA,2016,21.0,94.0
2100204,Alcântara - MA,2017,21.0,97.0
2100204,Alcântara - MA,2018,17.0,81.0
2100204,Alcântara - MA,2019,17.0,79.0
2100204,Alcântara - MA,2020,17.0,83.0
2100204,Alcântara - MA,2021,17.0,87.0
2100204,Alcântara - MA,2022,17.0,89.0
2100204,Alcântara - MA,2023,17.0,109.0
2100204,Alcântara - MA,2024,16.0,108.0
2100303,Aldeias Altas - MA,1995,93.0,78.0
2100303,Aldeias Altas - MA,1996,51.0,50.0
2100303,Aldeias Altas - MA,1997,51.0,51.0
2100303,Aldeias Altas - MA,1998,56.0,67.0
2100303,Aldeias Altas - MA,1999,55.0,69.0
2100303,Aldeias Altas - MA,2000,57.0,68.0
2100303,Aldeias Altas - MA,2001,57.0,69.0
2100303,Aldeias Altas - MA,2002,57.0,82.0
2100303,Aldeias Altas - MA,2003,54.0,109.0
2100303,Aldeias Altas - MA,2004,52.0,114.0
2100303,Aldeias Altas - MA,2005,49.0,113.0
2100303,Aldeias Altas - MA,2006,49.0,118.0
2100303,Aldeias Altas - MA,2007,13.0,32.0
2100303,Aldeias Altas - MA,2008,12.0,32.0
2100303,Aldeias Altas - MA,2009,11.0,28.0
2100303,Aldeias Altas - MA,2010,11.0,29.0
2100303,Aldeias Altas - MA,2011,10.0,30.0
2100303,Aldeias Altas - MA,2012,9.0,29.0
2100303,Aldeias Altas - MA,2013,7.0,24.0
2100303,Aldeias Altas - MA,2014,6.0,23.0
2100303,Aldeias Altas - MA,2015,7.0,25.0
2100303,Aldeias Altas - MA,2016,8.0,31.0
2100303,Aldeias Altas - MA,2017,8.0,32.0
2100303,Aldeias Altas - MA,2018,9.0,36.0
2100303,Aldeias Altas - MA,2019,9.0,36.0
2100303,Aldeias Altas - MA,2020,9.0,37.0
2100303,Aldeias Altas - MA,2021,9.0,42.0
2100303,Aldeias Altas - MA,2022,8.0,54.0
2100303,Aldeias Altas - MA,2023,8.0,60.0
2100303,Aldeias Altas - MA,2024,7.0,62.0
2100402,Altamira do Maranhão - MA,1995,91.0,46.0
2100402,Altamira do Maranhão - MA,1996,36.0,18.0
2100402,Altamira do Maranhão - MA,1997,7.0,4.0
2100402,Altamira do Maranhão - MA,1998,7.0,4.0
2100402,Altamira do Maranhão - MA,1999,8.0,5.0
2100402,Altamira do Maranhão - MA,2000,11.0,13.0
2100402,Altamira do Maranhão - MA,2001,11.0,13.0
2100402,Altamira do Maranhão - MA,2002,11.0,15.0
2100402,Altamira do Maranhão - MA,2003,19.0,28.0
2100402,Altamira do Maranhão - MA,2004,21.0,31.0
2100402,Altamira do Maranhão - MA,2005,22.0,37.0
2100402,Altamira do Maranhão - MA,2006,21.0,36.0
2100402,Altamira do Maranhão - MA,2007,22.0,41.0
2100402,Altamira do Maranhão - MA,2008,22.0,8.0
2100402,Altamira do Maranhão - MA,2009,22.0,44.0
2100402,Altamira do Maranhão - MA,2010,22.0,45.0
2100402,Altamira do Maranhão - MA,2011,21.0,43.0
2100402,Altamira do Maranhão - MA,2012,16.0,32.0
2100402,Altamira do Maranhão - MA,2013,16.0,32.0
2100402,Altamira do Maranhão - MA,2014,15.0,36.0
2100402,Altamira do Maranhão - MA,2015,15.0,44.0
2100402,Altamira do Maranhão - MA,2016,15.0,30.0
2100402,Altamira do Maranhão - MA,2017,12.0,26.0
2100402,Altamira do Maranhão - MA,2018,10.0,24.0
2100402,Altamira do Maranhão - MA,2019,9.0,23.0
2100402,Altamira do Maranhão - MA,2020,9.0,25.0
2100402,Altamira do Maranhão - MA,2021,9.0,25.0
2100402,Altamira do Maranhão - MA,2022,9.0,27.0
2100402,Altamira do Maranhão - MA,2023,10.0,25.0
2100402,Altamira do Maranhão - MA,2024,10.0,48.0
2100436,Alto Alegre do Maranhão - MA,1997,29.0,18.0
2100436,Alto Alegre do Maranhão - MA,1998,29.0,18.0
2100436,Alto Alegre do Maranhão - MA,1999,30.0,19.0
2100436,Alto Alegre do Maranhão - MA,2000,32.0,24.0
2100436,Alto Alegre do Maranhão - MA,2001,33.0,25.0
2100436,Alto Alegre do Maranhão - MA,2002,33.0,57.0
2100436,Alto Alegre do Maranhão - MA,2003,34.0,51.0
2100436,Alto Alegre do Maranhão - MA,2004,35.0,57.0
2100436,Alto Alegre do Maranhão - MA,2005,36.0,65.0
2100436,Alto Alegre do Maranhão - MA,2006,36.0,65.0
2100436,Alto Alegre do Maranhão - MA,2007,28.0,51.0
2100436,Alto Alegre do Maranhão - MA,2008,27.0,49.0
2100436,Alto Alegre do Maranhão - MA,2009,27.0,54.0
2100436,Alto Alegre do Maranhão - MA,2010,28.0,71.0
2100436,Alto Alegre do Maranhão - MA,2011,28.0,71.0
2100436,Alto Alegre do Maranhão - MA,2012,23.0,58.0
2100436,Alto Alegre do Maranhão - MA,2013,28.0,56.0
2100436,Alto Alegre do Maranhão - MA,2014,28.0,61.0
2100436,Alto Alegre do Maranhão - MA,2015,30.0,94.0
2100436,Alto Alegre do Maranhão - MA,2016,29.0,141.0
2100436,Alto Alegre do Maranhão - MA,2017,25.0,120.0
2100436,Alto Alegre do Maranhão - MA,2018,23.0,114.0
2100436,Alto Alegre do Maranhão - MA,2019,23.0,110.0
2100436,Alto Alegre do Maranhão - MA,2020,23.0,113.0
2100436,Alto Alegre do Maranhão - MA,2021,21.0,107.0
2100436,Alto Alegre do Maranhão - MA,2022,21.0,118.0
2100436,Alto Alegre do Maranhão - MA,2023,20.0,114.0
2100436,Alto Alegre do Maranhão - MA,2024,24.0,147.0
2100477,Alto Alegre do Pindaré - MA,1997,30.0,29.0
2100477,Alto Alegre do Pindaré - MA,1998,30.0,27.0
2100477,Alto Alegre do Pindaré - MA,1999,31.0,31.0
2100477,Alto Alegre do Pindaré - MA,2000,40.0,52.0
2100477,Alto Alegre do Pindaré - MA,2001,56.0,76.0
2100477,Alto Alegre do Pindaré - MA,2002,63.0,96.0
2100477,Alto Alegre do Pindaré - MA,2003,62.0,124.0
2100477,Alto Alegre do Pindaré - MA,2004,63.0,190.0
2100477,Alto Alegre do Pindaré - MA,2005,65.0,194.0
2100477,Alto Alegre do Pindaré - MA,2006,61.0,178.0
2100477,Alto Alegre do Pindaré - MA,2007,60.0,179.0
2100477,Alto Alegre do Pindaré - MA,2008,57.0,226.0
2100477,Alto Alegre do Pindaré - MA,2009,9.0,36.0
2100477,Alto Alegre do Pindaré - MA,2010,10.0,47.0
2100477,Alto Alegre do Pindaré - MA,2011,12.0,71.0
2100477,Alto Alegre do Pindaré - MA,2012,10.0,48.0
2100477,Alto Alegre do Pindaré - MA,2013,9.0,36.0
2100477,Alto Alegre do Pindaré - MA,2014,10.0,54.0
2100477,Alto Alegre do Pindaré - MA,2015,9.0,50.0
2100477,Alto Alegre do Pindaré - MA,2016,9.0,56.0
2100477,Alto Alegre do Pindaré - MA,2017,9.0,51.0
2100477,Alto Alegre do Pindaré - MA,2018,9.0,48.0
2100477,Alto Alegre do Pindaré - MA,2019,10.0,54.0
2100477,Alto Alegre do Pindaré - MA,2020,12.0,65.0
2100477,Alto Alegre do Pindaré - MA,2021,12.0,74.0
2100477,Alto Alegre do Pindaré - MA,2022,10.0,93.0
2100477,Alto Alegre do Pindaré - MA,2023,10.0,78.0
2100477,Alto Alegre do Pindaré - MA,2024,10.0,92.0
2100501,Alto Parnaíba - MA,1995,58.0,29.0
2100501,Alto Parnaíba - MA,1996,51.0,28.0
2100501,Alto Parnaíba - MA,1997,51.0,28.0
2100501,Alto Parnaíba - MA,1998,49.0,29.0
2100501,Alto Parnaíba - MA,1999,50.0,35.0
2100501,Alto Parnaíba - MA,2000,50.0,40.0
2100501,Alto Parnaíba - MA,2001,42.0,42.0
2100501,Alto Parnaíba - MA,2002,43.0,56.0
2100501,Alto Parnaíba - MA,2003,41.0,58.0
2100501,Alto Parnaíba - MA,2004,42.0,58.0
2100501,Alto Parnaíba - MA,2005,41.0,68.0
2100501,Alto Parnaíba - MA,2006,41.0,83.0
2100501,Alto Parnaíba - MA,2007,41.0,102.0
2100501,Alto Parnaíba - MA,2008,39.0,98.0
2100501,Alto Parnaíba - MA,2009,39.0,99.0
2100501,Alto Parnaíba - MA,2010,39.0,100.0
2100501,Alto Parnaíba - MA,2011,42.0,119.0
2100501,Alto Parnaíba - MA,2012,40.0,121.0
2100501,Alto Parnaíba - MA,2013,41.0,126.0
2100501,Alto Parnaíba - MA,2014,40.0,127.0
2100501,Alto Parnaíba - MA,2015,38.0,127.0
2100501,Alto Parnaíba - MA,2016,65.0,226.0
2100501,Alto Parnaíba - MA,2017,69.0,250.0
2100501,Alto Parnaíba - MA,2018,76.0,532.0
2100501,Alto Parnaíba - MA,2019,76.0,549.0
2100501,Alto Parnaíba - MA,2020,78.0,550.0
2100501,Alto Parnaíba - MA,2021,80.0,624.0
2100501,Alto Parnaíba - MA,2022,95.0,776.0
2100501,Alto Parnaíba - MA,2023,90.0,1076.0
2100501,Alto Parnaíba - MA,2024,90.0,1125.0
2100550,Amapá do Maranhão - MA,1997,17.0,17.0
2100550,Amapá do Maranhão - MA,1998,17.0,17.0
2100550,Amapá do Maranhão - MA,1999,19.0,19.0
2100550,Amapá do Maranhão - MA,2000,24.0,28.0
2100550,Amapá do Maranhão - MA,2001,24.0,31.0
2100550,Amapá do Maranhão - MA,2002,23.0,40.0
2100550,Amapá do Maranhão - MA,2003,23.0,50.0
2100550,Amapá do Maranhão - MA,2004,22.0,65.0
2100550,Amapá do Maranhão - MA,2005,21.0,62.0
2100550,Amapá do Maranhão - MA,2006,21.0,62.0
2100550,Amapá do Maranhão - MA,2007,18.0,65.0
2100550,Amapá do Maranhão - MA,2008,15.0,56.0
2100550,Amapá do Maranhão - MA,2009,12.0,58.0
2100550,Amapá do Maranhão - MA,2010,12.0,47.0
2100550,Amapá do Maranhão - MA,2011,12.0,44.0
2100550,Amapá do Maranhão - MA,2012,13.0,48.0
2100550,Amapá do Maranhão - MA,2013,13.0,41.0
2100550,Amapá do Maranhão - MA,2014,11.0,36.0
2100550,Amapá do Maranhão - MA,2015,11.0,53.0
2100550,Amapá do Maranhão - MA,2016,11.0,60.0
2100550,Amapá do Maranhão - MA,2017,12.0,67.0
2100550,Amapá do Maranhão - MA,2018,6.0,52.0
2100550,Amapá do Maranhão - MA,2019,6.0,49.0
2100550,Amapá do Maranhão - MA,2020,6.0,46.0
2100550,Amapá do Maranhão - MA,2021,7.0,66.0
2100550,Amapá do Maranhão - MA,2022,7.0,87.0
2100550,Amapá do Maranhão - MA,2023,6.0,69.0
