cod_ibge,municipio,produto,ano,vl_custeio,area_custeio,qtd_operacoes
2100055,Açailândia,AGROARTESANATO,2019,643500.0,0.0,13
2100055,Açailândia,AGROARTESANATO,2020,648000.0,0.0,14
2100055,Açailândia,AGROARTESANATO,2021,785000.0,0.0,15
2100055,Açailândia,AGROARTESANATO,2022,909000.0,0.0,13
2100055,Açailândia,AGROARTESANATO,2023,927000.0,0.0,14
2100055,Açailândia,AGROARTESANATO,2024,1054000.0,0.0,13
2100055,Açailândia,AGROARTESANATO,2025,1164000.0,0.0,14
2100055,Açailândia,AQUISIÇÃO DE INSUMOS,2016,3776330.73,414.63,1
2100055,Açailândia,AVES,2025,8000.0,0.0,1
2100055,Açailândia,BOVINOS,2013,6723589.58,0.0,26
2100055,Açailândia,BOVINOS,2014,10625632.18,0.0,28
2100055,Açailândia,BOVINOS,2015,16781934.73,0.0,37
2100055,Açailândia,BOVINOS,2016,13851965.66,0.0,26
2100055,Açailândia,BOVINOS,2017,26657633.83,0.0,42
2100055,Açailândia,BOVINOS,2018,44252604.99,0.0,49
2100055,Açailândia,BOVINOS,2019,52278784.64,23594.99,53
2100055,Açailândia,BOVINOS,2020,64521025.39,20911.420000000002,46
2100055,Açailândia,BOVINOS,2021,55360424.089999996,18777.45,46
2100055,Açailândia,BOVINOS,2022,118849010.12,21894.92,65
2100055,Açailândia,BOVINOS,2023,110795761.16,24792.85,60
2100055,Açailândia,BOVINOS,2024,59774327.07,16252.07,63
2100055,Açailândia,BOVINOS,2025,63271143.03,9769.720000000001,43
2100055,Açailândia,CAPITAL DE GIRO,2014,734531.84,0.0,3
2100055,Açailândia,CAPITAL DE GIRO,2015,554632.52,0.0,2
2100055,Açailândia,CUSTEIO DE MODALIDADE NÃO AGROPECUÁRIA,2014,626003.14,0.0,2
2100055,Açailândia,CUSTEIO DE MODALIDADE NÃO AGROPECUÁRIA,2015,1740818.77,0.0,4
2100055,Açailândia,CUSTEIO DE MODALIDADE NÃO AGROPECUÁRIA,2016,1690666.63,0.0,1
2100055,Açailândia,CUSTEIO DE MODALIDADE NÃO AGROPECUÁRIA,2017,66133.19,0.0,1
2100055,Açailândia,MADEIRA,2013,8000000.0,0.0,1
2100055,Açailândia,MADEIRA,2014,35508321.93,0.0,2
2100055,Açailândia,MANUTENÇÃO DO PRODUTOR E SUA FAMÍLIA,2013,4050167.81,0.0,10
2100055,Açailândia,MANUTENÇÃO DO PRODUTOR E SUA FAMÍLIA,2014,451992.43,0.0,2
2100055,Açailândia,"MEDICAMENTOS, RAÇÕES E INSUMOS",2017,3273073.75,0.0,1
2100055,Açailândia,MILHO,2013,2458827.7800000003,0.0,4
2100055,Açailândia,MILHO,2014,1163074.1099999999,0.0,2
2100055,Açailândia,MILHO,2015,947283.5,618.48,3
2100055,Açailândia,MILHO,2016,671454.02,499.96,1
2100055,Açailândia,MILHO,2018,4502153.09,2270.44,4
2100055,Açailândia,MILHO,2019,3734333.23,1474.49,5
