municipio,produto,ano,vl_invest,area_invest,qtd_operacoes
Afonso Cunha,ABERTURA DE GLEBAS RURAIS,2025,32200.0,6.5,5
Afonso Cunha,"ADUBAÇÃO ORGÂNICA/MINERAL, CALAGEM, SUBSTRATOS INERTES(PEDRA, AREIA, VERMICULITA, SILTE, ARGILA ETC)",2023,2000.0,0.0,1
Afonso Cunha,"ADUBAÇÃO ORGÂNICA/MINERAL, CALAGEM, SUBSTRATOS INERTES(PEDRA, AREIA, VERMICULITA, SILTE, ARGILA ETC)",2024,3080.0,0.0,3
Afonso Cunha,"ADUBAÇÃO ORGÂNICA/MINERAL, CALAGEM, SUBSTRATOS INERTES(PEDRA, AREIA, VERMICULITA, SILTE, ARGILA ETC)",2025,10000.0,0.0,5
Afonso Cunha,AGROINDÚSTRIA,2023,21000.0,0.0,3
Afonso Cunha,AGROINDÚSTRIA,2024,2250.0,0.0,1
Afonso Cunha,AGROINDÚSTRIA,2025,7700.0,0.0,2
Afonso Cunha,"AQUISIÇÃO DE AQUECEDORES, GERADORES, INCINERADORES, COMPRESSORES, VENTILADORES E APAR. DE AR CONDIC.",2024,4000.0,0.0,1
Afonso Cunha,"AQUISIÇÃO DE CAIXAS D'ÁGUA, LONAS, TOLDOS, CAMPÂNULAS",2023,13500.0,0.0,8
Afonso Cunha,"AQUISIÇÃO DE CAIXAS D'ÁGUA, LONAS, TOLDOS, CAMPÂNULAS",2024,20220.0,0.0,12
Afonso Cunha,"AQUISIÇÃO DE CAIXAS D'ÁGUA, LONAS, TOLDOS, CAMPÂNULAS",2025,37160.0,0.0,11
Afonso Cunha,"AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E TELECOMUNICAÇÕES, INCLUINDO AQUISIÇÃO DE SOFTWARE",2024,1200.0,0.0,1
Afonso Cunha,"AQUISIÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E TELECOMUNICAÇÕES, INCLUINDO AQUISIÇÃO DE SOFTWARE",2025,2000.0,0.0,3
Afonso Cunha,AQUISIÇÃO DE FERRAMENTA PORTÁTIL MANUAL PARA TRATOS CULTURAIS,2025,12000.0,0.0,2
Afonso Cunha,AQUISIÇÃO DE FERRAMENTAS E TUBOS,2025,56920.0,0.0,12
Afonso Cunha,AQUISIÇÃO DE MAQUINA(S)/EQUIPAMENTO(S) PARA EXTRAÇÃO/FABRICAÇÃO (INCLUINDO GUINCHOS E GUINDASTES),2024,7000.0,0.0,1
Afonso Cunha,AQUISIÇÃO DE MOTORES E ELEVADORES,2025,16600.0,0.0,4
Afonso Cunha,AQUISIÇÃO DE UTENSÍLIOS DOMÉSTICOS PARA USO EM MEIO RURAL,2025,54480.0,0.0,5
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2018,50000.0,0.0,4
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2019,38250.0,0.0,4
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2020,4195738.470000001,0.0,5
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2021,181300.0,0.0,11
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2022,54000.0,0.0,7
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2023,57000.0,0.0,5
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2024,9000.0,0.0,2
Afonso Cunha,"ARMAZÉM, DEPÓSITO, SILO, GALPÃO, PAIOL, ESTUFA E INSTALAÇÕES CONGÊNERES",2025,8273155.0,0.1,4
Afonso Cunha,AVICULTURA,2018,5000.0,0.0,1
Afonso Cunha,AVICULTURA,2022,23000.0,0.0,3
Afonso Cunha,AVIÕES,2020,1831500.0,0.0,1
Afonso Cunha,BANANA,2025,9700.0,2.0,1
Afonso Cunha,BOVINOS,2013,2500.0,0.0,1
Afonso Cunha,BOVINOS,2014,14544.0,0.0,1
Afonso Cunha,BOVINOS,2021,30000.0,120.03,1
Afonso Cunha,BOVINOS,2022,12000.0,0.0,1
Afonso Cunha,CAMINHÕES,2015,142940.0,0.0,1
Afonso Cunha,CAPRINOS,2018,5000.0,0.0,1
Afonso Cunha,CAPRINOS,2019,20000.0,0.0,2
Afonso Cunha,"CARRETAS, CARROÇAS E VAGÕES DE CARGA, FORRAGEIROS E DEMAIS",2024,350.0,0.0,1
Afonso Cunha,"CARRETAS, CARROÇAS E VAGÕES DE CARGA, FORRAGEIROS E DEMAIS",2025,900.0,0.0,2
Afonso Cunha,"COLHEITADEIRAS, COLHEDEIRAS E ARRANCADEIRAS",2022,9315000.0,0.0,1
Afonso Cunha,"COLHEITADEIRAS, COLHEDEIRAS E ARRANCADEIRAS",2025,3180.0,0.0,1
Afonso Cunha,"CONSTRUÇÃO/RECUPERAÇÃO BARRAGEM/TANQUE, SISTEMAS CAPTAÇÃO DE ÁGUA",2024,24800.0,0.0,7
Afonso Cunha,"CONSTRUÇÃO/RECUPERAÇÃO BARRAGEM/TANQUE, SISTEMAS CAPTAÇÃO DE ÁGUA",2025,101900.0,0.0,9
Afonso Cunha,CORREÇÃO INTENSIVA DO SOLO,2016,2785235.77,1918.87,1
Afonso Cunha,CORREÇÃO INTENSIVA DO SOLO,2017,1523360.1,1892.37,1
Afonso Cunha,CORREÇÃO INTENSIVA DO SOLO,2019,1986965.1,680.47,1
Afonso Cunha,CORREÇÃO INTENSIVA DO SOLO,2020,5475724.67,2967.48,2
Afonso Cunha,CORREÇÃO INTENSIVA DO SOLO,2024,450000.0,77.29,1
Afonso Cunha,DEPÓSITO E INSTALAÇÕES CONGÊNERES,2018,10000.0,0.0,1
Afonso Cunha,DEPÓSITO E INSTALAÇÕES CONGÊNERES,2019,31750.0,0.0,3
Afonso Cunha,DEPÓSITO E INSTALAÇÕES CONGÊNERES,2020,30000.0,0.0,2
Afonso Cunha,DESPOLPADOR,2025,3500.0,0.0,1
Afonso Cunha,EMBARCAÇÃO PEQUENA (ATÉ 20 A/B),2024,8000.0,0.0,1
Afonso Cunha,EQUIPAMENTOS E UTENSILIOS PARA AGRICULTURA DE PRECISÃO,2022,22000.0,0.0,4
Afonso Cunha,EQUIPAMENTOS E UTENSILIOS PARA AGRICULTURA DE PRECISÃO,2023,4000.0,0.0,1
Afonso Cunha,EQUIPAMENTOS E UTENSILIOS PARA AGRICULTURA DE PRECISÃO,2024,2000.0,0.0,1
Afonso Cunha,ESCOLAS RURAIS,2021,1900.0,0.0,1
Afonso Cunha,"ESTUFAS/VIVEIROS (ILUMIN. ARTIFICIAL, MUDAS, SEMENTES, SACOS, TALAGARÇAS, BANDEJAS, VASOS)",2025,3623.0,0.0,3
Afonso Cunha,GRANJAS AVÍCOLAS,2017,1400.0,0.0,1
Afonso Cunha,GRANJAS AVÍCOLAS,2018,15000.0,0.0,2
Afonso Cunha,GRANJAS DE SUÍNOS,2023,30300.0,0.0,4
Afonso Cunha,"IMPLANTAÇÃO DE TECNOLOGIAS DE ENERGIA RENOVÁVEL, AMBIENTAL E PEQUENAS APLICAÇÕES HIDROENERGÉTICAS",2023,1289168.48,0.0,1
Afonso Cunha,"IMPLANTAÇÃO DE TECNOLOGIAS DE ENERGIA RENOVÁVEL, AMBIENTAL E PEQUENAS APLICAÇÕES HIDROENERGÉTICAS",2024,600.0,0.0,1
Afonso Cunha,"IMPLANTAÇÃO DE TECNOLOGIAS DE ENERGIA RENOVÁVEL, AMBIENTAL E PEQUENAS APLICAÇÕES HIDROENERGÉTICAS",2025,2800.0,0.0,2
Afonso Cunha,"INSTALAÇÕES PARA AVES, SUÍNOS E COELHOS",2020,23700.0,0.0,3
Afonso Cunha,"INSTALAÇÕES PARA AVES, SUÍNOS E COELHOS",2021,498700.0,0.0,11
Afonso Cunha,"INSTALAÇÕES PARA AVES, SUÍNOS E COELHOS",2022,165000.0,0.0,10
Afonso Cunha,"INSTALAÇÕES PARA AVES, SUÍNOS E COELHOS",2023,251100.0,0.0,12
Afonso Cunha,"INSTALAÇÕES PARA AVES, SUÍNOS E COELHOS",2024,56965.0,0.0,8
Afonso Cunha,"INSTALAÇÕES PARA AVES, SUÍNOS E COELHOS",2025,63400.0,0.0,5
Afonso Cunha,INSTALAÇÕES PARA INDUSTRIALIZAÇÃO E BENEFICIAMENTO,2021,10400.0,0.0,2
Afonso Cunha,IRRIGAÇÃO,2023,12500.0,0.0,1
Afonso Cunha,IRRIGAÇÃO,2024,21000.0,0.0,6
Afonso Cunha,IRRIGAÇÃO,2025,4390.0,0.0,5
Afonso Cunha,"IRRIGAÇÃO/LIXIVIAÇÃO (GOTEJADOR, ASPERSOR, NEBULIZADOR, EXAUSTOR, VENTILADOR, MANGUEIRAS, CANAIS ET)",2023,3500.0,0.0,1
Afonso Cunha,"IRRIGAÇÃO/LIXIVIAÇÃO (GOTEJADOR, ASPERSOR, NEBULIZADOR, EXAUSTOR, VENTILADOR, MANGUEIRAS, CANAIS ET)",2024,4000.0,0.0,2
Afonso Cunha,"IRRIGAÇÃO/LIXIVIAÇÃO (GOTEJADOR, ASPERSOR, NEBULIZADOR, EXAUSTOR, VENTILADOR, MANGUEIRAS, CANAIS ET)",2025,27501.0,0.0,6
Afonso Cunha,"MANDIOCA (AIPIM, MACAXEIRA)",2025,5000.0,2.0,2
Afonso Cunha,MATERIAIS INDUSTRIALIZADOS,2024,59400.0,0.0,8
Afonso Cunha,MÁQUINAS E IMPLEMENTOS,2013,600000.0,0.0,1
Afonso Cunha,MÁQUINAS E IMPLEMENTOS,2014,549000.0,0.0,1
Afonso Cunha,MÁQUINAS E IMPLEMENTOS,2015,293400.0,0.0,1
Afonso Cunha,MÁQUINAS E IMPLEMENTOS,2021,3933000.0,0.0,1
