municipio_id,municipio,ano,area_plantada_ha,quantidade_ton,valor_mil_reais,area_colhida_ha
2100105,Afonso Cunha - MA,2003,20.0,22.0,13.0,20.0
2100105,Afonso Cunha - MA,2004,80.0,182.0,106.0,80.0
2100105,Afonso Cunha - MA,2005,110.0,275.0,88.0,110.0
2100105,Afonso Cunha - MA,2006,300.0,930.0,326.0,300.0
2100105,Afonso Cunha - MA,2007,510.0,1530.0,566.0,510.0
2100105,Afonso Cunha - MA,2008,530.0,1590.0,644.0,530.0
2100105,Afonso Cunha - MA,2009,600.0,1800.0,729.0,600.0
2100105,Afonso Cunha - MA,2010,1050.0,3150.0,1323.0,1050.0
2100105,Afonso Cunha - MA,2011,960.0,2304.0,1048.0,960.0
2100105,Afonso Cunha - MA,2012,1250.0,1125.0,810.0,1250.0
2100105,Afonso Cunha - MA,2013,1450.0,3132.0,2725.0,1450.0
2100105,Afonso Cunha - MA,2014,1470.0,4410.0,4520.0,1470.0
2100105,Afonso Cunha - MA,2015,2230.0,6021.0,5521.0,2230.0
2100105,Afonso Cunha - MA,2016,4020.0,7236.0,5789.0,4020.0
2100105,Afonso Cunha - MA,2017,5600.0,16800.0,16464.0,5600.0
2100105,Afonso Cunha - MA,2018,6000.0,18000.0,19620.0,6000.0
2100105,Afonso Cunha - MA,2019,6800.0,20740.0,21984.0,6800.0
2100105,Afonso Cunha - MA,2020,6795.0,20060.0,28886.0,6795.0
2100105,Afonso Cunha - MA,2021,9600.0,28800.0,72000.0,9600.0
2100105,Afonso Cunha - MA,2022,10100.0,30805.0,84714.0,10100.0
2100105,Afonso Cunha - MA,2023,8030.0,26499.0,57238.0,8030.0
2100105,Afonso Cunha - MA,2024,8030.0,24090.0,53981.0,8030.0
2100303,Aldeias Altas - MA,2021,550.0,578.0,1503.0,550.0
2100303,Aldeias Altas - MA,2022,650.0,1950.0,5655.0,650.0
2100303,Aldeias Altas - MA,2023,8949.0,28637.0,61570.0,8949.0
2100303,Aldeias Altas - MA,2024,11969.0,35907.0,80252.0,11969.0
2100477,Alto Alegre do Pindaré - MA,2020,350.0,1260.0,1588.0,350.0
2100477,Alto Alegre do Pindaré - MA,2021,338.0,1034.0,1851.0,338.0
2100477,Alto Alegre do Pindaré - MA,2022,500.0,1600.0,4656.0,500.0
2100477,Alto Alegre do Pindaré - MA,2023,700.0,2646.0,6056.0,700.0
2100477,Alto Alegre do Pindaré - MA,2024,700.0,2646.0,5713.0,700.0
2100501,Alto Parnaíba - MA,1995,5730.0,10600.0,1569.0,5730.0
2100501,Alto Parnaíba - MA,1996,4363.0,8808.0,2114.0,4363.0
2100501,Alto Parnaíba - MA,1997,14750.0,29500.0,7375.0,14750.0
2100501,Alto Parnaíba - MA,1998,16300.0,31296.0,7824.0,16300.0
2100501,Alto Parnaíba - MA,1999,3650.0,8906.0,2227.0,3650.0
2100501,Alto Parnaíba - MA,2000,4300.0,10806.0,2702.0,4300.0
2100501,Alto Parnaíba - MA,2001,5048.0,11163.0,2567.0,5048.0
2100501,Alto Parnaíba - MA,2002,7057.0,16224.0,5678.0,7057.0
2100501,Alto Parnaíba - MA,2003,15710.0,36133.0,21680.0,15710.0
2100501,Alto Parnaíba - MA,2004,19166.0,49851.0,22931.0,19166.0
2100501,Alto Parnaíba - MA,2005,21083.0,54837.0,26870.0,21083.0
2100501,Alto Parnaíba - MA,2006,20000.0,45600.0,15960.0,20000.0
2100501,Alto Parnaíba - MA,2007,20000.0,60000.0,15600.0,20000.0
2100501,Alto Parnaíba - MA,2008,21000.0,63000.0,45360.0,21000.0
2100501,Alto Parnaíba - MA,2009,18690.0,70088.0,49062.0,18690.0
2100501,Alto Parnaíba - MA,2010,27563.0,82413.0,57689.0,27563.0
